speaker,marker,job_title,utterance,filename,financial_quarter,call_date
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['yeah', 'think', 'conventional', 'wisdom', 'pretending', 'add', 'conventional', 'wisdom', 'one', 'way', 'other', 'tapering', 'sort', 'complete', 'and', 'therefore', 'might', 'see', 'end', 'sometime', 'middle', 'year', 'course', 'may', 'change', 'that', 'seems', 'current', 'market', 'consensus', 'sort', 'take', 'step', 'back', 'look', 'h', 'data', 'kind', 'flow', 'funds', 'models', 'type', 'stuff', 'look', 'way', 'peers', 'behaving', 'evolution', 'expectations', 'economywide', 'loan', 'growth', 'cetera', 'impact', 'might', 'growth', 'systemwide', 'deposits', 'kind', 'consistent', 'story', 're', 'telling', 'sort', 'background', 'growth', 'nii', 'outlook', 'plus', 'minus', 'happens', 'policy', 'rate', 'stabilizing', 'growing', 'deposit', 'balances', 'second', 'half', 'year']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Mike Mayo,Q,"Analyst, Wells Fargo Securities LLC","['stay', 'around', 'maybe', 'years', 'base', 'case', 'right', 'now']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Mike Mayo,Q,"Analyst, Wells Fargo Securities LLC","['right', 'thank', 'you']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jim Mitchell,Q,"Analyst, Seaport Global Securities LLC","['hey', 'good', 'morning', 'maybe', 'regulation', 'new', 'administration', 'coming', 'new', 'soontobe', 'guess', 'new', 'head', 'regulation', 'fed', 'maybe', 'talk', 'about', 'again', 'areas', 'regulatory', 'structure', 'change', 'would', 'impactful', 'you', 'areas', 'think', 'capital', 'requirements', 'could', 'actually', 'down', 'story', 'requirements', 'simply', 'stop', 'going', 'thanks']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['hey', 'jim', 'mean', 'obviously', 'something', 're', 'thinking', 'lot', 'could', 'pretty', 'deep', 'rabbit', 'holes', 'speculating', 'different', 'parts', 'framework', 'could', 'evolve', 'really', 'think', 'that', 'productive', 'right', 'now', 'let', 'make', 'attempt', 'answer', 'question', 'backing', 'second', 'read', 'jamie', 'quotes', 'they', 're', 'consistent', 've', 'saying', 'company', 'long', 'time', 'want', 'coherent', 'rational', 'holisticallyassessed', 'regulatory', 'framework', 'allows', 'banks', 'job', 'supporting', 'economy', 'reflexively', 'antibank', 'default', 'answer', 'every', 'question']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['everything', 'capital', 'liquidity', 'uses', 'data', 'balances', 'obvious', 'goal', 'share', 'safe', 'sound', 'banking', 'system', 'actually', 'recognizing', 'banks', 'play', 'critical', 'role', 'supporting', 'growth', 'hope', 'get', 'that', 'also', 're', 'aspects', 'supervisory', 'framework', 'get', 'little', 'bit', 'less', 'bureaucratic', 'little', 'less', 'adversarial', 'little', 'bit', 'substantive', 'margin', 'management', 'focus', 'time', 'things', 'matter', 'most', 'whether', 'capital', 'goes', 'down', 'stays', 'flat', 'really', 'complicated', 'basel', 'iii', 'endgame', 'also', 'gsib', 'also', 'number', 'factors', 'that', 'keep', 'hammering', 'away', 'importance', 'holistically', 'properly', 'right', 'analysis', 'takes', 'time']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jamie Dimon,A,"Chairman & Chief Executive Officer, JPMorganChase","['add', 'that', 'great', 'jeremy', 'gave', 'all', 'let', 'add', 'three', 'quick', 'things', 'liquidity', 'also', 'equally', 'important', 'there', 'lot', 'recognition', 'counts', 'liquidity', 'discount', 'windows', 'lcr', 'done', 'think', 'important', 'second', 'competition', 'things', 'done', 'light', 'looking', 'kind', 'public', 'markets', 'want', 'kind', 'private', 'markets', 'want', 'want', 'banking', 'system', 'want', 'banking', 'system', 'third', 'think', 'people', 'realize', 'huge', 'need', 'take', 'step', 'back', 'look', 'byzantine', 'balkanized', 'system', 'built', 'negatives', 'even', 'regulators', 'tell', 'that', 'one', 'point', 'take', 'deep', 'breath', 'jeremy', 'said', 'let', 'right', 'thing', 'continue', 'best', 'financial', 'system', 'world']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jim Mitchell,Q,"Analyst, Seaport Global Securities LLC","['yeah', 'makes', 'sense', 'maybe', 'followup', 'loan', 'growth', 'since', 'election', 'seems', 'like', 'ceo', 'confidence', 'business', 'confidence', 'increased', 'starting', 'see', 'improvement', 'demand', 'lending', 'thoughts', 'would', 'great']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jeremy Barnum,A,"Chief Financial Officer, JPMorganChase","['yeah', 'good', 'question', 'think', 'given', 'significant', 'improvement', 'business', 'sentiment', 'general', 'optimism', 'there', 'might', 'expected', 'see', 'pickup', 'loan', 'growth', 'really', 'seeing', 'that', 'particularly', 'think', 'that', 'negative', 'think', 'probably', 'explained', 'combination', 'wideopen', 'capital', 'markets', 'many', 'larger', 'corporates', 'accessing', 'capital', 'markets', 'healthy', 'balance', 'sheets', 'small', 'businesses', 'maybe', 'residual', 'caution', 'maybe', 'pockets', 'industries', 'aspects', 'policy', 'uncertainty', 'might', 'facing', 'making', 'little', 'bit', 'cautious', 'otherwise', 'would', 'they', 're', 'executing', 'nearterm', 'but', 'll', 'see', 'new', 'year', 'brings', 'current', 'optimism', 'starts', 'getting', 'tested', 'reality', 'one', 'way', 'other', 'maybe', 'materializes', 'tangible', 'improvements', 'things', 'one', 'way', 'other', 'actually', 'see', 'come', 'loan', 'growth', 'particular']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
Jim Mitchell,Q,"Analyst, Seaport Global Securities LLC","['okay', 'great', 'thanks']",4q24-earnings-transcript.pdf,4Q24,2025-01-15
