Analyst,Analyst Role,Question,Executive,Executive Role Type,Response,filename,Quarter,call_date
Steven Chubak,"Analyst, Wolfe Research LLC","Hey, good morning.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Good morning, Steve.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Steven Chubak,"Analyst, Wolfe Research LLC","So, Jamie, I was actually hoping to get your perspective on how you see the recent developments with SVB impacting the regulatory landscape for the big banks. In your letter you spent a fair amount of time highlighting the consequences of overly stringent capital requirements, the risk of steering more activities to the less regulated nonbanks. But what are some of the changes that you're scenario planning for – whether it's higher capital, increase in FDIC assessment fees? And along those same lines, how you're thinking about the buyback given continued strong capital build, but a lot of macro uncertainty at the moment.",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Well, I think you were already kind of complete with answering your own question there. Look, we're hoping that everyone just takes a deep breath and looks at what happened and the breadth and depth of regulations already in place. Obviously, when something happens like this, you should adjust, think about it. So I think down the road there may be some limitations on held-to-maturity, maybe more TLAC for certain type-size banks, and more scrutiny on interest rate exposure, and stuff like that. But it doesn't have to be a revamp of the whole system, just recalibrating things the right way. And I think it should be done knowing what you want the outcome to be. The outcome you should want is very strong community and regional banks. And certain actions are taken which are drastic – it could actually make them weaker. So, that's all it is. We do expect higher capital from Basel IV, effectively and, obviously there's going to be an FDIC assessment – that'll be what it is. 5",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Steven Chubak,"Analyst, Wolfe Research LLC","Got it. And just in terms of appetite for the buyback, just given some of the...",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Oh, yeah.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Steven Chubak,"Analyst, Wolfe Research LLC",...elevated macro uncertainties.,Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Well, we've told you that we're kind of penciling in $12 billion for this year. Obviously, capital is more than that, but – and we did a little bit of buyback this quarter. We're going to wait and see. We don't mind keeping our powder dry, and you've seen us do that with investment portfolios, and we're also going to do that with capital.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Ken Usdin,"Analyst, Jefferies LLC","Hey, thanks. Good morning. Hey, Jeremy, I was just wondering if you can just give us a little bit more detail on those lower funding expectation points that you made, just in terms of is it because of what you can offer the client that might allow you to kind of keep that beta lower? And maybe you can just kind of wrap it into what your overall beta expectations are in that revised update? Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah, sure. So let me just summarize the drivers of the change in the outlook. So the primary driver really is lower deposit rate paid expectations across both consumer and wholesale, which, as you mentioned, is driven by a couple factors. So, the change in the rate environment, with cuts coming sooner in the outlook, all else equal, does take some pressure off the reprice. And as you said, we're getting a lot of positive feedback from the field on our product offerings. The short-term CD, in particular, is really getting a lot of positive feedback from our folks in the branches. It's been very attractive to yield-seeking customers. So that's kind of working well. And then on the asset side, we are seeing a little bit higher Card revolve, which is helping. And I'll just remind you that at a conference in February, I suggested that we were already starting to feel like some of the uncertainties we mentioned when giving the guidance had started all moving in the same direction, and that was one of the things that contributed to the upward revision, like all of the uncertainty kind of went the same way. But as Jamie's pointed out – those uncertainties are all still there, we highlight them on the page, and as we look forward to this year and to next year and the medium-term we remain very focused on those. 6",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Ken Usdin,"Analyst, Jefferies LLC","Yeah, and as a follow-up on the point about rate expectations coming now in, and potentially getting cut sooner – how do you take a look at what that might mean just for the broader economy? Do you think it's more just because inflation's coming down? Do you think it's because the Fed's just got to react to an even tougher economy and still some of those storm clouds that might be out there? Just kind of your general thinking about the other read-throughs of what lower rates quicker will mean for the broader economy.",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","Well first of all, I don't quite believe it. So the Fed has the rate curve, the forward short-term rate curve, almost at 1% higher than what the market has. So one of the things you got to always prepare for is – it could be anything, we don't know what the rate curve is going to be in a year. And so we're quite cautious in that and quite thoughtful about that. Obviously, the short-term read is higher recessionary risk and then inflation coming down. So I think inflation will come down a little bit, but it could easily be stickier than people think and therefore, the rate curve will have to go up a little bit.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Erika Najarian,"Analyst, UBS Securities LLC",Hi. Good morning. My first question is you mentioned that your reserve build was driven mostly by worse economic assumptions. I'm wondering if you could update us on what unemployment rate you're assuming in your reserve.,Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So, Erika, as you know, we take – not going to go into a lot of detail here – but we take the outlook from our economists, we run a bunch of different scenarios and we probability-weight those. The central case outlook from our research team hasn't actually changed, but we felt that in line with what Jamie just said in terms of a little bit of tightening as a result of the events of March, it made sense to add a little bit of weight to our relative adverse case. So we did that, which changed the weighted-average expectation. And I think that the weighted-average peak unemployment that we're using now is something like 5.8%.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Erika Najarian,"Analyst, UBS Securities LLC","So, as you think about all of what you've just told us – so $81 billion of NII this year, and who knows when medium-term is going to happen of mid-70s, the clear strength of the franchise producing 23% ROTCE in a quarter where your CET1 is 13.8% and a reserve that already reflects 5.8% unemployment. As we think about recession and what JPMorgan can earn in a recession, do you think you can hit 17% ROTCE even in 2024 – assuming we do have a recession in 2024 as everybody is expecting – given all these revenue dynamics and how prepared you are on the reserve?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. I mean that's an interesting question, Erika. I guess I'll say a couple things.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Jim Mitchell,"Analyst, Seaport Global Securities LLC","No, fair – all fair points. And maybe just a follow-up on John's question on the lending environment. You talked about the industry likely pulling back. Are you changing your underwriting standards in any way? Just trying to think through is there potential for some market share gains given your strength of capital and liquidity? Or how you're thinking about the loan environment?",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase","I'd say very modestly, but we look at that all the time.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","In your comments about your CET1 ratio, obviously it came in strong at 13.8%. You've got the GSIB buffer obviously going up next year, and we have the stress test coming this summer or in June – the results – which maybe will lead to banks, including yours, having a higher Stress Capital Buffer. Where should we think about that CET1 ratio being by the end of the year, do you think?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","Yeah. So a few things on there, Gerard. So we have previously said that we were targeting 13.5% in the first quarter of 2024 as a function of assuming an unchanged SCB, the increased GSIB step and operating with a 50-basis-point buffer. So, the point that Jamie made a second ago, in light of the environment, Basel IV, dry powder, you know, who knows how we'll tweak that going forward. But that's still our base case assumption. Specifically on the stress test, contrary to what I've heard some people argue, our ability to predict the SCB ahead of time from running our own process is actually quite limited. And you'll remember last year that even though we did predict an increase, we were off by almost a factor of two in terms of how big it wound up being, and that was a big surprise for the whole industry. So, we want to be quite humble about our ability to predict the SCB. But having said that, for right now we are assuming it will be unchanged. There are some tailwinds in there through the OCI, but we believe there will likely be some offsets and harsher credit shocks in the number, so for planning purposes right now we're assuming flat for SCB, and we'll know soon enough what that actual number is.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Sure. And then just as a follow-up, if I heard you correctly, can you give us a little more color – I think you mentioned in building the loan loss reserve this quarter you identified some one-off credits? I don't know if that's how you said it – there's some larger credits. Were they commercial real estate oriented? Were they commercial? Any more color there?",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase","No, it wasn't commercial real estate. It was just a couple of single name items in the Corporate segment.",1q23-earnings-transcript.pdf,1Q23,2023-04-14
