Question,Asked by,Role of the person asked the question,Answer,Answered by,Role of the person answered the question,role of the person answered the question
"So, a couple of questions here. Just, one, Jamie, could you talk through the decision to raise the dividend kind of mid-cycle, it felt like, pre-CCA R? And also, help us understand how you're thinking about where that payout ratio, that dividend payout ratio, range should be. Because over the past several years, it's been somewhere between 24% and 32%. And so, is this suggesting we could be towards the higher-end of that range or even expanding above that? And then I also just wanted to understand the buyback and the keeping of the CET1 at 15% here. The minimum is 11.9%. I know it's – we have to wait for Basel III Endgame re-proposal to come through and all that, but should we be expecting that, hey, we're going to hold 15% CET1 until we know all these rules? Thanks.",Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC","Yeah. So, Betsy, before I answer the question, I want to say something on behalf of all of us at JPMorgan and, me personally, thrilled to have you on this call. For those that don't know, Betsy has been through a terrible medical episode and it's a reminder to all of us how lucky we are to be here. But, Betsy, in particular, the amount of respect we have, not just in your work, but in your character over the last 20 plus years has been exceptional. So, on behalf of all of us, I just want to welcome you back and thrilled to have you here. And so, you're asking a pertinent question. So, we're earning a lot of money. Our capital cup runneth over, and that's why we've increased the dividend. And if you're asking me what we'd like to do is to pay out something like a third, a third of normalized earnings. Of course, it's hard to calculate always what normalized earnings are, but we don't mind being a little bit ahead of that sometimes, a little bit behind that sometimes. If I could give people kind of consistent dividend guidance, et cetera, I think the far more important question is the 15%. So, look at the 15%, I'm going to oversimplify it, that basically will prepare us for the total Basel Endgame today, roughly. The specifics don't matter that much. Remember, we can do a lot of things to change that in the short-run or the long-run, but it looks like Basel III Endgame may not be the worst case. It'll be something less than that. So, obviously, when and if that happens, it would free up a lot of capital, and I'm going to say in the order of $20 billion or something like that. And, yes, we've always had the capital hierarchy the same way, which is we're going to use capital to build our business first, I mean, pay the dividend – steady dividend, build the business, and if we think it's appropriate to buy back stock. We're continuing to buy back stock at $2 billion a quarter (sic). I personally do not want to buy back a lot more than that at these current prices. I think you've all heard me talk about the world, things like that. So, waiting in preparation for Basel. Hopefully we'll know something later, and then we can be much more specific with you all. But in the meantime, there are also – it's very important to put in mind, there are short-term uses for capital that are good for shareholders, that could reduce our CET1 too. So, you may see us do things in the short-run that will increase earnings, increase capital, that are using up that capital. Jeremy mentioned on the – on one of the things that we know, the balance sheet and how we use the balance sheet for credit and trading, we could do things now. So, it's a great position to be in. We're going to be very, very patient. I urge all the analysts to keep in mind, excess capital is not wasted capital, it's earnings in store. We will deploy it in a very good way for shareholders in due course.",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase & Co.",
"Hey. Good morning. Jeremy, can you speak to the trends you're seeing with respect to deposit migration in the quarter, if there's been any change? Have you seen that migration start to slow or not?",Jim Mitchell,"Analyst, Seaport Global Securities LLC","Yeah. Good question, Jim. I think the simplest and best answer to that is: not really. So, as we've been saying for a while, migration from checking and savings to CDs is sort of the dominant trend with this driving the increase in weighted average rate paid in the consumer deposit franchise, that continues. We continue to capture that money-in-motion at a very high rate. We're very happy about what that means about the consumer franchise and level of engagement that we're seeing. I'm aware that there's a little bit of a narrative out there about are we seeing the end of what people sometimes refer to as cash sorting. We've looked at that data. We see some evidence that maybe it's slowing a little bit. We're quite cautious on that. We really sort of don't think it makes sense to assume that in a world where checking and savings is paying effectively zero and the policy rate is above 5% that you're not going to see ongoing migration. And frankly, we expect to see that even in a world where – even if the current yield curve environment were to change and meaningful cuts were to get reintroduced and we would actually start to see those, we would still expect to see ongoing migration and yield-seeking behavior. So, it's quite conceivable and this is actually on the yield curve that we had in fourth quarter that had six cuts in it. We were still nonetheless expecting an increase in weighted average rate paid as that migration continues. So, I would say no meaningful change in the trends and the expectation for ongoing migration is very much still there.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.",
"Jeremy, you had mentioned at a conference earlier this year that the Street might need to build in more reserve growth – for the Card growth, you've had more reserve build. We didn't see that this quarter. Is that just kind of seasonal? And would you still expect the kind of growth math to play out in terms of Card growth and reserve build needs?",John McDonald,"Analyst, Autonomous Research","Yeah, John. So, in short, yes to both questions. So, yes, the relative lack of build this quarter is a function of the normal seasonal patterns of Card. Yes, we still expect 12% Card loan growth for the full year. And yes, that still means that all else equal, we think the consensus for the allowance build for the back three quarters is still a little too low, if you map it to that expected Card loan growth. Obviously, there's the wild card of what happens with our probabilities and our parameters and the output of our internal process of assessing the skew in the seasonal distribution and so on, and we're not speaking to that one way or the other. So, if guys have your own opinions about that, that's fine, but we're narrowly just saying that based on the Card loan growth that we expect and normal coverage ratios for that, we do expect build in the back half of the year.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.",
"Hey. Good morning. I guess, just in terms of, Jeremy, when you think about the outlook for the economy, I would appreciate your thoughts on the health of the customer base, both commercial and consumer. And when we think about higher-for-longer, maybe the economy is too strong so we don't get any rate cuts, are you seeing that when you talk to your customers and the feedback you're getting from your bankers where the momentum is picking up? And I appreciate all the macro risks that Jamie has pointed out, but I'm just getting – trying to get to a sense of what your view is in terms of the most likely outcome based on what you're seeing today from the customers.",Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","I would say consumer customers are fine. The unemployment is very low. Home prices are up. Stock prices are up. The amount of income they need to service their debt is still kind of low, but the extra money of the lower-income folks is running out – not running out, but normalizing, and you see credit normalizing a little bit. And of course, higher-income folks still have more money, they're still spending it. So, whatever happens, the customer is in pretty good shape and they're – if they – you go into a recession, they'll be in pretty good shape. Businesses are in good shape. If you look at it today, their confidence is up, their order books are up, their profits are up. But what I caution people, these are all the same results of a lot of fiscal spending, a lot of QE, et cetera. And so, we don't really know what's going to happen. And I also want to look at the year. Look at two years or three years, all the geopolitical effects and oil and gas and how much fiscal spending will actually take place, our elections, et cetera. So, we're in good shape – we're okay right now. It does not mean we're okay down the road. And if you look at any inflection point, being okay in the current time is always true. That was true in 1972. It was true in any time we've had it. So, I just – I'm just on the more cautious side. How people feel and confidence levels and all that, doesn't necessarily stop you from having an inflection point. And so, everything is okay today, but you've got to be prepared for a range of outcomes, which we are. And the other thing I want to point out, because all of these questions about interest rates and yield curves and NII and credit losses, it's – one thing to project it today based on what – not what we think in economic scenarios, but the generally accepted economic scenario, which is the generally accepted rate cuts of the Fed, but these numbers have always been wrong. You have to ask the question, what if other things happen like higher rates with this modest recession, et cetera? Then all these numbers change. I just don't think any of us should be surprised if and when that happens. And I just think the chance of happening is higher than other people. I don't know the outcome. We don't want to guess the outcome. I've never seen anyone actually positively predict big inflection point in the economy, literally in my life or in history.",Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase & Co.",
"Given that your response to Betsy's question is that 15% CET1 today prepares you for Basel III Endgame as written, you earn 22% on 
without the FDIC assessment. Ahead of Investor Day, I guess, six weeks from now or a week from now, as we think about that 
17% through -the-cycle target, if you're at the right capital level per you guys, where are you over -earning today?",Erika Najarian,"Analyst, UBS Securities LLC","Right. So, interesting framing of the question, Erika. So, I think we've been pretty consistent about where we're over -earning, right? So, 
obviously, one major area is that we're over -earning in deposit margin, especially in consumer and that's sort of why we're expecting 
sequential declines in NII, why we've talked about compressing deposit margins and increases in weighted average rate paid. So, I think that's 
probably the single biggest source of, let's call it, excess earnings currently. 

You also have heard Jamie say that we're over -earning in credit. I mean, Wholesale charge -offs have been particularly low, but we have 
builds for that. So, in the current run rate, a bit less clear the extent of what we're earning. And in Card, of course, while charge -offs are now 
close to normalized essentially, we did go through an extended period of charge -offs being very low by historical standards, although that was 
coupled with NII also being low by historical standards. So, from a bottom line perspective, it's not entirely clear what the net of that was. But 
broadly, it's really deposit margin that's the biggest single factor in the over -earning narrative. 

Embedded in your question, I think, is a little bit of the 
what are you thinking about the 17% CET1 in light of the current level of capital and so 
on and you did talk about Investor Day. I was hoping that we would have interesting things to say about that at Investor Day in light of potential 
updates of the Basel III Endgame, given that the single most important factor for that 17% is how much denominator expansion do we see 
through the Basel III Endgame. 

At the rate we're going, we won't actually know that much more about that by Investor Day, so we might not have that much more to say 
except to reiterate what I've said in the past which is that, whatever it is, it's going to be very good, our returns in absolute terms, very good in 
relative terms. We will optimize, we will seek to reprice, we will adjust in various ways to the best of our ability. But given the structure of the 
rule as proposed at least, a lot of this cannot be optimized away. And so, in the base case you have to think of it as a headwind.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.",
,,,,,,
"Hi. Jamie, I'm just trying to reconcile some of your concerns in your CEO letter. I'm sure the 60 pages  – I can see you put a lot of effort into that, and it's appreciated. But you talked about scenarios, tail risk, macro risk, geopolitical risk and all that over several years, if not weeks or months. I get it. On the other hand, the firm is investing so much more outside the U.S., whether it's commercial or some digital banking, consumer or wholesale payments. So, I'm just trying to reconcile kind of your actions with your words. And specifically, how is global Wholesale Payments going? You mentioned you're in 60 countries. You do business a lot more. How is that business in particular doing?",Mike Mayo,"Analyst, Wells Fargo Securities LLC","Right, Mike. So I’m sorry to tell you that Jamie actually left us because he’s at a leadership off-site. That’s why he was here remote. So, I think he left the call in my hands, for better or for worse. But let me try to address some of your points and without sort of speaking for Jamie here. I think that when we talk about the impact of the geopolitical uncertainty on the outlook, part of the point there is to note that the U.S. is not isolated from that. If we have global macroeconomic problems as a result of geopolitical situations, that’s not only a problem outside of the U.S.; that affects the global economy and therefore the US and therefore our corporate customers, et cetera, et cetera. And in that context, keeping in mind what we always say that we invest through-the-cycle, that we sort of, we don’t go into countries and then leave countries, et cetera. Obviously, we adjust around the edges, we manage risks, we do make choices as a function of the overall geopolitical environment. But broadly, the notion that we would pull back meaningfully from one of the key competitive strengths that this company has always had which is, its sort of global character because of a particular moment geopolitically, would just be inconsistent with how we've always operated. And in terms of the Wholesale Payments business, it's going great. We're taking share. There's been a lot of innovation there, a lot of investment in technology, a lot of connectivity to payment systems in different countries around the world. And yeah, I'm sure we'll give you more color in other settings on that, but it's a good story. It's a nice thing to see.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.",
Do you feel like you're under-earning on the Investment Banking side?,Glenn Schorr,"Analyst, Evercore ISI","Yeah, Glenn. In short, yes. I mean, I think we're not shy about saying that we're under-earning in Investment Banking right now. Clearly, we're below cycle averages, as you point out. We've been talking about when do we get back to the pre-pandemic wallet? But as you know, I mean on this point, what it was, like March 2020, right, was the beginning of the pandemic. So, it's like four years ago at this point. So, there has been GDP growth, especially in nominal terms during that period, and you would expect the wallet to growth with that. So, I do think there's meaningful upside in the Investment Banking fee wallet. As I've noted, there are some headwinds, I think particularly in M&A. But over time, you would hope that the amount of M&A is a function of the underlying industrial logic rather than the regulatory environment. So, you could see some mean reversion there. And, yeah, so that's why we're sort of leaning in. We're engaging with clients. We're making sure that we're appropriately resourced for a more robust level of the wallet and fighting for every dollar of share.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.",
"Good morning. You mentioned one use of capital is to lean into the trading businesses with your balance sheet. And we just see the trading assets going up Q2, which is probably seasonal, but also up a lot year-over-year, but not necessarily translate into higher revenues. And I know they don't like match up necessarily each quarter, but maybe just elaborate like how you're leaning into the trading with the balance sheet and how you expect that to benefit you over time.",Matt O’Connor,"Analyst, Deutsche Bank Securities, Inc.","Yeah, sure. So, let me break this question down into a couple of different parts. So, I think what Jamie was sort of suggesting is that, you can think of the concept as kind of like strategic capital versus tactical capital for lack of a better term. And what he's kind of saying is that, in a moment where you're carrying a lot of excess capital sort of for strategic reasons, you have the ability at least in theory to deploy portions of that with kind of like – into relatively short-duration assets or strategies or client opportunities in whatever moment for whatever reason, and what might be thought of as a tactical sense. So, he's just pointing out that that's an option that you have. And the extent to which this quarter's increase in Markets RWA is a reflection of that, maybe a little bit, but probably not. I agree with you that it's hard in any given quarter to specifically link the change in capital and RWA to a change in revenue versus too many moving parts there. But for sure, one thing that's true is the higher run rate of the Markets businesses as a whole that we talked about a second ago, is linked also to higher deployment of balance sheet into those businesses. So, as you well know, we pride ourselves on being extremely analytical and extremely disciplined in how we analyze capital liquidity, balance sheet deployment, GSIB capacity utilization, et cetera, in the Markets business. And we don't just chase revenue; we go after returns fully measured. And that's part of the DNA, and we continue to do it and we will. So – that we still are operating under multiple binding constraints. And obviously, the environment is complex, so the ability to sort of throw a ton of capital at opportunities is not quite that simple always. But big picture, we are clearly in a very, very strong capital position which is, in no small part in anticipation of all the uncertainty, but it does also mean that if opportunities arise between now and when the Basel III Endgame is final, we are very well positioned to take advantage of those opportunities.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.",
"Can you share with us the color on what's going on in the corporate lending market in terms of spreads seem to be getting tighter? It's not reflecting, I don't think, a real fear out there in the global geopolitical world. And any color just on what you guys are seeing in the leveraged loan market as well?",Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Right. So, I think what's true about spreads in general, just broadly credit spreads including secondary markets and to some extent the leverage lending space, is that they are exceptionally tight. So, I'm sure that's reversed a little bit in the last few days. But broadly throughout the quarter, we've really seen credit spreads tighten quite a bit. You even see that a little bit in our OCI this quarter, where losses in OCI that we would've had from higher rates have been meaningfully offset by tighter credit spreads in the portfolio. So broadly, sort of in keeping with the big run-up that we saw in equity markets and the general sort of bullish tone, you saw quite a bit of credit spread tightening in secondary markets. That, I think, has manifested itself a little bit in the leverage lending space in the normal way that it does, and that there's a lot of competition among providers for the revenue pool, and you start to see a little bit of loosening of terms which always makes us a little bit concerned. And as we have in the past, we are going to be very well prepared to lose share in that space if we don't like the terms. We never compromise on structure there. So, you are seeing a little bit of that. I think that, away from the leverage lending space in the broader C&I space, there was a moment a few months ago where I think, in no small part, as a result of banks generally anticipating this more challenging capital environment and sort of disciplining a little bit their lending, you're seeing a little bit of widening actually in those corporate lending spreads. I don't know if that trend has like survived over the last few weeks, and it was little bit hard to observe in any case. But I would say broadly, the dynamics are the tension between people trying to be careful with their balance sheets and the fact that overall asset prices and conditions are quite supportive and secondary market credit spreads have rallied a lot.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.",
