Name of the first person,Role of the first person,All text that the first person said,Name of the second person,Role of the second person,All text that the second person said
Steven Chubak,"Analyst, Wolfe Research LLC","Hi. Good morning, Jeremy.
So, wanted to start off with a question on capital just given some indications that the Fed is considering favorable revisions to both Basel III Endgame and the GSIB surcharge calculations, which I know you've been pushing for some time. As you evaluate just different capital scenarios, are these revisions material enough where they could support a higher normalized ROTCE at the Firm versus the 17% target? And if so, just how that might impact or inform your appetite for buybacks going forward?
No need to apologize, Jeremy. That was a really helpful perspective. Maybe just for my follow-up on NII, you've been very consistent just in flagging the risk related to NII overearning, especially in light of potential deposit attrition as well as repricing headwinds. In the second quarter, we did see at least some moderation in repricing pressures, deposit balances were also more resilient in with a seasonally weak quarter for deposit growth. So, just given the evidence that some deposit pressures appear to be abating, do you see the potential for NII normalizing higher? And where do you think that level could ultimately be in terms of stabilization?
Understood, Jeremy. Thanks so much for taking my questions.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Good morning, Steve.
Right. Okay. Thanks, Steve. And actually, before answering the question, I just want to remind everyone that Jamie is not able to join because he has a travel conflict overseas, so it's just going to be me today.
Okay. Good question on the capital and the ROTCE. So, let me start with the ROTCE point first. In short, my answer to that question would be no. It's hard to imagine a scenario coming out of the whole potential range of outcomes on capital that involves an upward revision on ROTCE. If you think about the way we've been talking about this, we've said that before the Basel III Endgame proposal, we had a 17% through the cycle target, and that while you can imagine a range of different outcomes, the vast majority of them involve expansions of the denominator. And while we had ideas about changing the perimeter and repricing, all of which are still sort of in effect, most of those would be thought of as mitigants rather than things that would actually, like increase the ROTCE. And I don't really think that answer has particularly changed.
So, as of now, that's what I would say, which is a good pivot to the next point, which is, yeah, we've been reading the same press coverage you've been reading and it's fun and interesting to speculate about the potential outcomes here. But in reality, we don't know anything you don't know. We don't know how reliable the press coverage is. And so, in that sense, I feel like on the overall capital return and buyback trajectory, not much has actually changed relative to what I laid out at Investor Day, the comments that I made then, the comments that Jamie made then, as well as the comments that Jamie made the subsequent week at an industry conference.
So, maybe I'll just briefly summarize for everyone's benefit what we think that is, which is, one, we do recognize that our current practice on capital return and buybacks does lead to an ever-expanding CET1 ratio. But obviously, we're going to run the company over the cycle over time at a reasonable CET1 ratio with reasonable buffers relative to our requirement. So, after all the uncertainty is sorted out, the question of the deployment of the capital, one way or another, is a matter of when, not if.
On the capital hierarchy, it's also worth noting that's another thing that remains unchanged, so I'll review it quickly. Growing the business organically and inorganically, sustainable dividend, and in that context it's worth noting that the board's announced intention to increase it to $1.25 is a 19% increase prior to last year. So, that's a testament to our performance and that is a return of capital.
And then, finally buybacks. But that hierarchy does not commit us to return 100% of the capital generation in any given quarter. And so, as we sit here today, when you look at the relationship between the opportunity cost of not deploying the capital and the opportunities to deploy the capital outside the Firm, it's kind of hard to imagine an environment where that relationship argues more strongly for patience. So, given all that, putting it all together, and sorry for the long answer, we remain comfortable with the current amount of excess capital. And as Jamie has said, we really continue to think about it as earnings in store as much as anything else.
Yeah. Interesting question, Steve. So, let's talk about deposit balances. So, yeah, I see your point about how balance pressures are slightly abating. When you look at the system as a whole, just to go through it, QT is still a bit of a headwind, loan growth is modest and not enough to offset that. And our PE seems to have settled in roughly at its current levels, and there are reasons to believe that it might not go down that much more, although that could always change and that could supply extra reserves into the system. But on balance net across all those various effects, we still think that there are net headwinds to deposit balances. So, when we think of our balance outlook, we see it as flat to slightly down maybe with our sort of market share and growth ambitions offsetting those system-wide headwinds.
So, in terms of normalizing higher, I guess it depends on relative to what, but I think it's definitely too early to be sort of calling the end of the overearning narrative or the normalization narrative. Clearly, the main difference in our current guidance relative to what we had earlier in the year, which implied a lot more sequential decline, is just the change in the Fed outlook. So, two cuts versus six cuts is the main difference there. But obviously, based on the latest inflation data and so on, you could easily get back to a situation with a lot more cuts in the yield curve. So, we'll see how it goes and in the end, we're kind of focused on, on just running the place, recognizing, and trying not to be distracted by what remains some amount of overearning, whatever it is.
Thanks, Steve."
Saul Martinez,"Analyst, HSBC Securities (USA), Inc","Hi, good morning. Thanks for taking my question. Jeremy, can you give an update on the stress capital buffer? You noted obviously that you think there is an error in the Fed's calculation due to OCI. Can you just give us a sense of what the dialogue with the Fed looks like? Is there a process to modify the SCB higher and if you could give us a sense of what that process looks like?
Okay, got it. That's helpful. Just following up on capital returns on Steve's question, I think you highlighted in response it's a matter of when, not if, and obviously, Jamie’s not there, you can’t speak for Jamie, but seems to have shown limited enthusiasm for a special dividend or buybacks at current valuations. Can you just give us a sense of how you’re thinking about the various options? Any updated thoughts on a special dividend? And can you do other things like, for example, have a material increase in your dividend payout, sort of a step function increase, where keep that flat and grow into that, grow your earnings into that over time? Can you just maybe give us a sense of how you're thinking about what options you have available to deploy that capital?
Okay, great. Thanks a lot.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. So, I'm not going to comment about any conversations with the Fed – not to confirm or deny that they even exist. That stuff is private. And so, then if you talk about, like the timing here, right, so you know that the stress capital buffer that's been released at 3.3% is a preliminary number. By rule, the Fed has to release that by August 31. It may come sooner. You talked about an error in the calculation. We haven't used that word. What we know, what we believe rather is that the amount of OCI gain that came through the Fed's disclosed results looked non-intuitively high to us. And if you adjust that in ways that we think are reasonable, you would get a slightly higher stress capital buffer. Whether the Fed agrees and whether they decide to make that change or not is up to them, and we'll see what happens.
I think the larger point is that if you look at the industry as a whole and if you sort of put us into that with some higher pro forma’d SCB, whatever it might suitably be, you actually see once again quite a bit of volatility in the year-on-year change in the stress capital buffer for many firms. And just sort of reiterating and another example of what we've said a lot over the years that it's volatile, it's untransparent, it makes it very hard to manage capital of a bank. It leads to excessively high management buffers, and we think it's really not a great way to do things. So, I'll leave it at that.
Sure. Yeah. I mean, I would direct you to read, I'm sure you have, Jamie's comments at the industry conference, where he participated the week after Investor Day because he went into just good amount of detail on this stuff, addressing some of these points. And I think this comment there about the special dividend was that it's not really our preference. We hear from people that many of our investors wouldn't find that particularly appealing, and he said as much that it wouldn't be sort of our first choice.
So, I think the larger point is just that, a little bit to your question, there are a number of tools in the toolkit and they're really the same tools that are part of our capital hierarchy. So, first and foremost, we're looking to deploy the capital into organic or inorganic growth. And then, the dividend, I think we're always going to want to keep it in that sort of, like sustainable and also sustainable in a stressed environment so that continues to be the way we think about that. And then, at the end of it, it's buybacks and Jamie's been on the record for over a decade, I think, over many shareholder letters, talking about how he thinks about price and buybacks and valuation and price is a factor. So, that's sort of the totality of the set of options, I guess.
Thanks, Saul."
Ken Usdin,"Analyst, Jefferies LLC","Thanks a lot. Good morning, Jeremy. Jeremy, great to see the progress on Investment Banking fees up sequentially and 50% year -over-year, and I saw you on the tape earlier just talking about still regulatory concerns a little bit in the advisory space and we clearly didn't see the debt pull-forward play through because your DCM was great again. I'm just wondering just where you feel the environment is relative to the potential and just where the dialogue is across the three main bucket areas in terms of, like how does this feel in terms of a current environment versus a potential environment that we could still see ahead. Thanks. Great. Thank you for all that, Jeremy. And just one on the Consumer side, just anything you're noticing in terms of people just have been waiting for this delinquency stabilization on the Credit Card side. Obviously, your loss rates are coming in as you expected, and we did see 30 days pretty flat and 90 days come down a little bit. Is that seasonal? Is it just a good rate of change trend? Any thoughts there? Thanks. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Thanks, Ken. It's progress, right? I mean, we're happy to see the progress. People have been talking about depressed banking fee wallet for some time and it's nice to see not only the year-on-year pop from a low base, but also a nice sequential improvement. So, that's the first thing to say. In terms of dialog and engagement, it's definitely elevated. So, the dialog on ECM is elevated, and the dialog on M&A is quite robust as well. So, all of those are good things that encourage us and make us hopeful that we could be seeing sort of a better trend in this space. But there are some important caveats. So, on the DCM side, yeah, we made pull-forward comments in the first quarter, but we still feel that this second quarter still reflects a bunch of pull-forward and therefore, we're reasonably cautious about the second half of the year. Importantly, a lot of the activity is refinancing activity as opposed to, for example, acquisition finance. So, the fact that M&A remains still relatively muted in terms of actual deals has knock-on effects on DCM as well. And when a higher percentage of the wallet is refied, then the pull-forward risk becomes a little bit higher. On ECM, if you look at it kind of at a remove, you might ask the question, given the performance of the overall indices, you would think it would be a really booming environment for IPOs for example. And while it's improving, it's not quite as good as you would otherwise expect, and that's driven by a variety of factors, including the fact that, as has been widely discussed, the extent to which the performance of the large indices is driven by, like a few stocks, the sort of mid-cap tech growth space and other spaces that would typically be driving IPOs have had much more muted performance. Also, a lot of the private capital that was raised a couple years ago was raised at pretty high valuations. And so, in some cases, people looking at IPOs could be looking at down-rounds, that's an issue. And while secondary market performance of IPOs has improved meaningfully, in some cases people still have concerns about that. So, those are a little bit of overhang on that space. I think we can hope that over time that fades away and the trend gets a bit more robust. And, yeah, on the advisory side, the regulatory overhang is there, remains there, and so, we'll just have to see how that plays out. Yeah. I still feel like when it comes to Card charge-offs and delinquencies, there's just not much to see there. It's still – it's normalization, not deterioration. It's in line with expectations. As I say, we always look quite closely inside the cohort, inside the income cohorts. And when you look in there, specifically, for example, on spend patterns, you can see a little bit of evidence of behavior that's consistent with a little bit of weakness in the lower income segments where you see a little bit of rotation on the spend out of discretionary into non-discretionary. But the effects are really quite subtle and in my mind definitely entirely consistent with the type of economic environment that we're seeing, which while very strong and certainly a lot stronger than anyone would have thought given the tightness of monetary conditions, say, like they've been predicting it a couple of years ago or whatever, you are seeing slightly higher unemployment, you are seeing moderating GDP growth. And so, it's not entirely surprising that you're seeing a tiny bit of weakness in some pockets of spend. So, it all kind of hangs together in what is in some sense actually not a very interesting story. Thanks, Ken."
Glenn Schorr,"Analyst, Evercore ISI","Hi, thanks very much. So, Jeremy, the discussions so far around private credit and you all, your recent comments have been the ability to add on balance sheet and compete when you need to compete on the private credit front. And I do think that most of the discussion has been about the direct lending component. So, I'm curious if you're showing more progress and activity on that front. And then, very importantly, do you see the same trend happening on the asset-backed finance side because that's a bigger part of the world and it's a bigger part of your business? So, I'd appreciate your thoughts there. Thanks. No. That's great for you if you're not hearing much about it, so we can leave it at that. Maybe just one quick follow-up in terms of your just overall posturing. You were patient and smart when rates were low, waited to deploy, worked out great, we know that story. Now, it seems like you have tons of excess liquidity and you're being patient and rates are high, and I'm curious on how you think about what kind of triggers, what kind of things you're looking for in the market to know if and when you would extend duration. Super helpful. Thanks so much for that.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Thanks, Glenn. So, on private credit, so nothing really new to say there. I think, I guess, one way the environment's evolving a little bit is, as you know, a lot of money has been raised in private credit funds looking for deals. And sort of a little bit to my prior comment, in a relatively muted acquisition finance environment, at this point you've got a lot of money chasing, like not that many deals. So, the space is a little bit quieter than it was at the margin. Another interesting thing to note is some of this discussion about kind of lender protections that were typical in the syndicated leveraged finance market making their way into the private market as well as sort of people realize that even in the private market you probably need some of those protections in some cases, which is sort of supportive of the theme that we've been talking about, about convergence between the direct lending space and the syndicated lending space, which is kind of our core thesis here, which is that we can offer best-in-class service across the entire continuum, including secondary market trading and so on. So, we feel optimistic about our offering there. I think the current environment is maybe a little bit quieter than it was. So, it's maybe not a great moment to, like kind of test whether we're doing a lot more or less in the space, so to speak. And then, on asset-backed financing, you actually asked me that question before, and at the time, my answer was that I hadn't heard much about that trend and that continues to be the case. But clearly, there must be something I'm missing. So, I can follow up on that and maybe we can have a chat about it. Right. I mean, on duration, in truth, we have actually added a little bit of duration over the last couple of quarters. So, that's one thing to say. That was more last quarter than this quarter. But, I guess, I would just caution you from a little bit away from looking at kind of our reported cash balances and our balance sheet and concluding that, when you look at the duration concept holistically, that there is a lot to be done differently on the duration front. So, clearly, it's true that empirically we behaved, like very asset-sensitively in this rate hiking cycle and that has resulted in a lot of excess NII generation sort of on the way up in the near term. But when we look at the Firm's overall sensitivity to rates, we look at it through both, like the EaR-type lens, a short-term NII sensitivity, but also a variety of other lenses, including various types of scenario analysis, including impacts on capital and higher rates. And as I think Jamie has said a couple times, we actually aim to be relatively balanced on that front. Also, given, like the inverted yield curve, it's not as if extending duration from these levels means that you're locking in 5.5% rates. In fact, the forwards are not sort of that compelling given our views about some sort of structural upward pressures on inflation and so on. So, I think when you put that all together, I don't think that kind of a big change in duration posture is a thing that's front of line for us. Thanks, Glenn."
Matt O'Connor,"Analyst, Deutsche Bank Securities, Inc.","Good morning. I was just wondering if you can elaborate on essentially the math behind the ROTCE being too high at 20% and more normalized at 17%. Obviously, you've pointed to overearning on NII. And I guess, the question is, is that all of it to go from 20% to 17%? And if so, is that all consumer deposit costs or are there a few other components that you could help frame for us?
Yeah, that was a really helpful chart. Just the one follow-up, on the yield curve effects, I guess, what do you mean by that because right now the yield curve is inverted, maybe you're still breathing in the impact of that. But kind of longer term, you'd expect little bit of steepness of the curve, which I would think would help. But what did you mean by that? Thank you.
Got it. Okay. Thank you for the details.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Sure. Good question, Matt. I mean, I guess, the way I think about it is a couple of things, like our returns tend to be a bit seasonal, right? So, if you kind of build yourself out a full-year forecast and make reasonable, just based on your own or analyst consensus or whatever and you think about fourth quarter, like better look at this on a full-year basis when you think about the returns than the quarterly numbers and you obviously have to strip out kind of the one-time items. And so, if you do that, like whatever you get for this year, is still clearly a number that's higher than the 17%. So, yeah, one source of headwinds is normalization of the NII, primarily as a result of expected higher deposit costs. That's – we've talked about that. Part of it is also the yield curve effects. Some cuts will come into the curve at some point.
And in the normal course, if you kind of do a very, very, very simple mental model of the company, you would have, like revenues growing at some organic GDP, like rate maybe higher, and expenses growing at a similar slightly lower rate producing a sort of relatively stable overhead ratio. But even if the amount of NII normalization winds up being less than we might have thought at some prior point, you still have some normalization of the overhead ratio that needs to happen. So, as much as our discipline on expense management is as tight as it always has been there, inflation is still non-zero. There are still investments that we're executing. There's still higher expense to come in a slightly flatter revenue environment as a result of, in part, the normalization of NII.
And then, the final point is that whatever winds up being the answer on Basel III Endgame and all the other pieces, you have to assume some amount of expansion of the denominator, at least based on what we know so far. So, of course, any of those pieces could be wrong, but that's kind of how we get to our 17%. And if you look at the various scenarios that we showed on the last page of my Investor Day presentation, it illustrates those dynamics and also how much the range could actually vary as a function of the economic environment and other factors.
Yeah. I mean, you and I have talked about this before, I guess. I sort of – I guess, I don't really agree fundamentally with the notion that the way to think about things is that sort of yield curve steepness above and beyond what's priced in by the forewords is a source of structural NII or NIM for banks, if you know what I mean. Like, I mean, people have different views about the so-called term premium and obviously, in a moment of inverted curve and different types of treasury supply dynamics, people's thinking on that may be changing.
But I think we saw when rates were at zero and the 10-year note was below 2%, everyone sort of – many people were kind of tempted to try to get extra NIM, extra NII by extending duration a lot. But when the steepness of the curve implies, it is driven by the expectation of actually aggressive Fed tightening, it's just a timing issue and you can wind up kind of pretty offsides from a capital and other perspectives, so. There're some interesting questions about whether fiscal dynamics might result in a structurally steeper yield curve down the road and whether that could be sort of earning the term premium, so to speak, could be a source of NII. But that feels a bit speculative to me at this point.
Thanks, Matt."
Mike Mayo,"Analyst, Wells Fargo Securities LLC","Hi. Jeremy, you said it's too early to end the overearning narrative and you highlighted higher deposit costs and the impact of lower rates and lower NII and DCM pull-forward and credit costs going higher. Anything I'm missing in that list? And what would cause you to end the overearning narrative? Your 17% through the cycle ROTCE expectation, what is the CET1 ratio that you assume for that? Let me just zoom out for one more question on the return target. I mean, when I asked Jamie at the 2013 Investor Day, would it make sense to have 13.5% capital, he was basically telling me to take a hike, right? And now, you have 15.3% capital and you're saying, well, we might want to have a lot more capital here. I mean, at some point, if you're spending $17 billion a year to improve the company, if you're gaining share with digital banking, if you're automating the back office, if you're moving ahead with AI, if you're doing all these things that I think you say others aren't doing, why wouldn't those returns go higher over time or do you just assume you'll be competing those benefits away? Thanks. All right. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","No. Actually, I think that is the right list, Mike. I mean, frankly, I think one thing that would end the overearning narrative is if our annual returns were closer to 17%. I mean, to the extent that that is the through the cycle number that we believe and that we're currently producing more than that, that's one very simple way to look at that. But the pieces of that are the pieces that you talked about and the single most important piece is the deposit margin. Our deposit margins are well above historical norms, and that is a big part of the reason that we still are emphasizing the overearning narrative. I mean, we would generally assume requirements plus a reasonable buffer, which, depending on the shape of rules, could be a little bit smaller or a little bit bigger and no small part is a function of the volatility of those rules, which goes back to my prior comments on SCB and CCAR. But obviously, as you well know, what actually matters is less the ratio and more the dollars and at this point, the dollars are very much a function of where rules land and where the RWA lands and obviously, things like GSIB recalibration and so on. So, we've done a bunch of scenario analysis along the lines of what I did at Investor Day that informs those numbers. But that is obviously one big element of uncertainty behind that 17%, which is why at Investor Day when we talked about it, both Daniel and I were quite specific about saying that we thought 17% was still achievable, assuming a reasonable outcome on the Basel III Endgame. Yeah. I mean, I think in short, Mike, and we've talked about this a lot and Jamie's talked about this a lot, it's a very, very, very competitive market, and we're very happy with our performance. We're very happy with the share we've taken, and 17% is like an amazing number actually. And like, to be able to do that, given how robust the competition is from banks, from non-banks, from U.S. banks, from foreign banks, and all of the different businesses that we compete in, is something that we're really proud of. So, the number has a range around it, obviously. So, it's not a promise, it's not a guarantee, and it can fluctuate. But we're very proud to be in the ballpark of being able to think that we can deliver it, again, assuming a reasonable outcome on Basel III Endgame."
Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC","Hi, Jeremy. Hi, Jeremy.
So, I did want to ask one drill-down question on 2Q, and it's related to the dollar amount of buybacks that you did do. I think in the press release, right, in the slide deck, it's $4.9 billion common stock net repurchases. So, the question here is, what's the governor for you on how much to do every quarter? And, I mean, I understand it's a function of, okay, how much do we organically grow. But even with that, so you get the organic growth, which you had some nice movement there. But you do the organic growth and then is it how much do we earn and we want to buy back our earnings or how should we be thinking about what that repurchase volume should be looking like over time? And I remember over at Investor Day the whole debate around I don't want to buy back my stock, but we are, right? So, I get this question from investors quite a bit of how should we be thinking about how you think about what the right amount is to be doing here.
All right. Thank you, Jeremy. Appreciate it.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Hi, Betsy.
Yeah. That's a very good and fair question, Betsy. So, let me try to unpack it to the best of my ability. So, in no particular order, one thing that we've really tried to emphasize in a number of different settings, including in our recent 10-Qs actually is that we don't want to get into the business of guiding on buybacks. So, we're going to buy back whatever we think makes sense in the current moment sort of and we reserve the right to sort of change that at any time. So, I recognize that not everyone loves that, but that is kind of a philosophical belief and so, I might as well say it explicitly. It was pretty clear in the Q also, but I'm just going to say that again. So, that's point one.
But having said that, let me nonetheless try to address your point on framework and governors. So, generally speaking, we think it doesn't make sense to sort of exit the market entirely unless the conditions are much more unusual than they are right now, let's say. Obviously, when for whatever reason, if we ever need to build capital in a hurry, we've done it before and we're always comfortable suspending buybacks entirely. But I think some modest amount of buybacks is a reasonable thing to do when you're generating your kind of capital. And so, we were talking before about this $2 billion pace. We're kind of trying to move away from this notion of a pace, but that's where that idea comes from, let's put it that way.
You talked about the $4.9 billion, which I recognize may seem like a little bit of a random number. But where that actually comes from is the other statement that we've made that we have these significant item gains from Visa. And if you think about what that means, it means that we have, post the acceptance of the exchange offer, a meaningful long position and a liquid large cap financial stock, i.e., Visa, which realistically is highly correlated to our own stock. And so, in some sense, why carry that instead of just buying back JPMorgan stock. So, we talked about – Jamie talked about, as we liquidate the Visa, deploying those proceeds into JPM and that’s what we did this quarter. So, that is why the $4.9 billion is a little higher, and it’s consistent with my comments at Investor Day around having slightly increased the amount of buybacks.
And beyond that, what you’re left with is my answer to Steve’s question, which is that, to your point about buying back earnings or whatever, when we’re generating these types of earnings and there’s this much organic capital being generated in the absence of opportunities to deploy it organically or inorganically and while continuing to maintain our healthy, but sustainable dividend, if we don’t return the capital we are going to keep growing the CET1 ratio to levels, which, if you think about the long strategic outlook of the company, are not reasonable. They’re just artificially high and unnecessary. So, one way or the other, that will need to be addressed at some point. It’s just that we don’t feel that now is the right time.
Thanks, Betsy."
Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Hi, Jeremy. How are you?
Jeremy, I know you touched on deposits earlier in the call in response to a question. I noticed on the average balances then on-interest-bearing deposits were relatively stable quarter-to-quarter versus prior quarters when they’ve steadily declined. And this is one of the areas, of course, investors are focused on in terms of the future of the net interest margin for you and your peers. Can you elaborate, if you can, what you’re seeing in that non-interest-bearing deposit account? I know this is average and not period, and the end number may actually be lower. But what are you guys seeing here?
Very good. And as a follow-up, you've been very clear about the Consumer Credit Card charge-offs and delinquency levels, and we all know about the Commercial Real Estate Office. And you always talk about overearning on net interest income, of course. One of the great credit quality stories for everyone, including yourselves, is the C&I portfolio, how strong it's been in this elevated rate environment? And I know your numbers are still quite low, but in the Corporate and Investment Bank, you had about a $500 million pickup in non-accrual loans. Can you share with us what are you seeing in C&I? Are there any early signs of cracks or anything? And, again, I know your numbers are still good, but I'm just trying to look forward to see if there's something here over the next 12 months or so.
Great. Appreciate the insights as always. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Hi, Gerard.
Yeah. Good question, Gerard. I have to be honest, I hadn’t focused on that particular sequential explain, i.e., quarter-on-quarter change and average non-interest-bearing deposits. But I think the more important question is the big picture question, which is what do we expect? How are we thinking about ongoing migration of non-interest-bearing into interest-bearing in the current environment and how that affects our NII outlook and our expectation for weighted average rate paid on deposits?
And the answer to that question is that, we do continue to expect that migration to happen. So, if you think about it, in the Wholesale space, you have a bunch of clients with some balances and non-interest-bearing accounts, and over time for a variety of reasons, we do see them moving those balances into interest-bearing. So, we do continue to expect that migration to happen and therefore, that will be a source of headwinds. And that migration sometimes happens internally, i.e., out of non-interest-bearing into interest-bearing or into CDs. Sometimes, it goes into money markets or into investments, which is what we see happening in our Wealth Management business and some of it does leave the company. But one of the things that we're encouraged by is the extent to which we are actually capturing a large portion of that yield-seeking flow through CDs and money market offerings, et cetera, across our various franchises. So, big picture. I do think that migration out of non-interest-bearing into interest-bearing will continue to be a thing and that is a contributor to the modest headwinds that we expect for NII right now. But, yeah, I'll leave it at that, I guess.
Yeah. It's a good question. I think the short answer is no. We're not really seeing early signs of cracks in C&I. I mean, yes, I agree with you, like the C&I charge-off rate has been very, very low for a long time. I think we emphasized that at last year's Investor Day, if I remember correctly. I think the C&I charge-off rate we've seen in 10 years was something like literally zero. So, that is clearly very low by historical standards. And while we take a lot of pride in that number and I think it reflects the discipline in our underwriting process and the strength of our credit culture across the bankers and the risk team, that's not – we don't actually run that franchise to like a zero loss expectation. So, you have to assume there will be some upward pressure on that. But in any given quarter, the C&I numbers tend to be quite lumpy and quite idiosyncratic. So, I don't think that anything in the current quarter's results is indicative of anything broader, and I haven't heard anyone internally talk that way, I would say.
Thanks, Gerard."
Erika Najarian,"Analyst, UBS Securities LLC","Hi, good morning. I just had one clean-up question, Jeremy. The consensus provision for 2024 is $10.7 billion. Could you maybe clarify for once and for all sort of Jamie's comments at an industry conference earlier and try to sort of triangulate if that $10.7 billion provision is appropriate for the growth level that you are planning for in Card? Great. Thank you.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Yeah. Happy to clarify that. So, Jamie's comments were that the allowance – the build and the Card allowance, so we're talking about Card specifically, we expected something like $2 billion for the full year. As I sit here today, our expectation for that number is actually slightly higher, but it's in the ballpark. And I think in terms of what that means for the consensus on the overall allowance change for the year, last time I checked, it still looked a little low on that front. So, who knows what it'll actually wind up being, but that remains our view. One question that we've gotten is how to reconcile that build to the 12% growth in OS that we've talked about because it seems like a little bit high relative to what you would have otherwise assumed if you apply some sort of a standard coverage ratio to that growth. But the reason that's the case is essentially a combination of higher revolving mix, as we continue to see some normalization revolve in that 12%, as well as seasoning of earlier vintages, which comes with slightly higher allowance per unit of OS growth. Thanks, Erika."
Jim Mitchell,"Analyst, Seaport Global Securities LLC","Oh, hey, good morning. Maybe just one last question on sort of deploying excess capital. It seems like the two primary ways to do that organically would be through the trading book or the loan book. So, maybe two questions there. One, trading assets were up 20% year-over-year. Is that you leaning into it or just a function of demand? And is there further opportunities to grow that? And then, secondly, outside of Card, loan demand has been quite weak and any thoughts from you on if you're seeing any change in demand or how you're thinking about loan demand going forward? Thanks. Right. Okay. Great. Thanks.",Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co.","Thanks, Jim. Good questions. So, yeah, trading assets have been up. That is basically client activity, primarily secured financing-related sort of matchbook repo-type stuff and similar things that are – gross up the balance sheet quite a bit, but are quite low risk and therefore, quite low RWA intensity. So, while our ability to supply that financing to clients is something that we're happy about and it's very much represents us leaning into the franchise to serve our clients. It's not really particularly RWA and therefore, capital intensive and therefore, doesn't really reflect an aggressive choice on our part to deploy capital, so to speak. On the loan demand front, yeah, I mean, unfortunately, I just don't have much new to say there on loan demand, meaning, to your point, loan demand remains quite muted everywhere except Card. Our Card business is, of course, in no way capital constrained. So, whatever growth makes sense there in terms of our customer franchise and our ability to acquire accounts and retain accounts and what fits inside our credit risk appetite, is growth that's going to make sense. And so, we're very happy to deploy capital to that. But it's not constrained by our willingness or ability to deploy capital to that. And, of course, for the rest of the loan space, the last thing that we're going to do is have the excess capital, meaning that we lean into lending that is not inside our risk appetite or inside our credit box, especially in a world where spreads are quite compressed and terms are under pressure. So, there's always a balance between capital deployment and assessing economic risk rationally and frankly, that is, in some sense, a microcosm of the larger challenge that we have right now. When I talked about if there was ever a moment where the opportunity cost of not deploying the capital relative to how attractive the opportunities outside the walls of the company are, now would be it in terms of being patient. That's a little bit one example of what I was referring to. Thanks, Jim."
