filename,chunk_index,chunk_text,financial_quarter,call_date,tokenized_data,cleaned_data
4q24-earnings-transcript.pdf,1,"Operator: Good morning, ladies and gentlemen. Welcome to JPMorganChase's Fourth Quarter 2024 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go live to the presentation. The presentation is available on JPMorganChase's
website. Please refer to the disclaimer in the back concerning forward-looking statements. Please stand by.",4Q24,2025-01-15,"['operator', 'good', 'morning', 'ladies', 'gentlemen', 'welcome', 'jpmorganchase', 'fourth', 'quarter', 'earnings', 'call', 'call', 'recorded', 'line', 'muted', 'duration', 'call', 'live', 'presentation', 'presentation', 'available', 'jpmorganchase', 'website', 'please', 'refer', 'disclaimer', 'back', 'concerning', 'forwardlooking', 'statements', 'please', 'stand']",['operator: good morning ladies gentlemen welcome jpmorganchases fourth quarter 2024 earnings call call recorded line muted duration call go live presentation presentation available jpmorganchases website please refer disclaimer back concerning forward-looking statements please stand by']
4q24-earnings-transcript.pdf,2,"At this time, I would like to turn the call over to JPMorganChase's Chairman and CEO, Jamie Dimon, and Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead. Jeremy Barnum
Chief Financial Officer, JPMorganChase
Thank you, and good morning, everyone. the Firm reported net income of $14 billion, EPS of $4.81 on revenue of $43.7
billion, with an ROTCE of 21%. we have more on our fourth-quarter results. The Firm reported revenue of $43.7 billion, up $3.8 billion
or 10% year-on-year.",4Q24,2025-01-15,"['time', 'would', 'like', 'turn', 'call', 'jpmorganchase', 'chairman', 'ceo', 'jamie', 'dimon', 'chief', 'financial', 'officer', 'jeremy', 'barnum', 'mr', 'barnum', 'please', 'ahead', 'jeremy', 'barnum', 'chief', 'financial', 'officer', 'jpmorganchase', 'thank', 'you', 'good', 'morning', 'everyone', 'firm', 'reported', 'net', 'income', 'billion', 'eps', '', 'revenue', '', 'billion', 'rotce', 'fourthquarter', 'results', 'firm', 'reported', 'revenue', '', 'billion', '', 'billion', 'yearonyear']",['time would like turn call jpmorganchases chairman ceo jamie dimon chief financial officer jeremy barnum mr barnum please go ahead jeremy barnum chief financial officer jpmorganchase thank you good morning everyone firm reported net income $14 billion eps $481 revenue $437 billion rotce 21% fourth-quarter results firm reported revenue $437 billion $38 billion 10% year-on-year']
4q24-earnings-transcript.pdf,3,"NII ex. Markets was down $548 million or 2%, driven by the impact of lower rates and the associated deposit margin
compression, as well as lower deposit balances in CCB, largely offset by the impact of securities reinvestment, higher revolving balances in
Card and higher wholesale deposit balances. NIR ex. Markets was up $3.1 billion or 30%. Excluding the prior year's net investment securities
losses, it was up 21%, largely on higher asset management fees and investment banking fees.",4Q24,2025-01-15,"['nii', 'markets', 'million', 'driven', 'impact', 'lower', 'rates', 'associated', 'deposit', 'margin', 'compression', 'well', 'lower', 'deposit', 'balances', 'ccb', 'largely', 'offset', 'impact', 'securities', 'reinvestment', 'higher', 'revolving', 'balances', 'card', 'higher', 'wholesale', 'deposit', 'balances', 'nir', 'markets', '', 'billion', 'excluding', 'prior', 'year', 'net', 'investment', 'securities', 'losses', 'largely', 'higher', 'asset', 'management', 'fees', 'investment', 'banking', 'fees']",['nii ex markets $548 million 2% driven impact lower rates associated deposit margin compression well lower deposit balances ccb largely offset impact securities reinvestment higher revolving balances card higher wholesale deposit balances nir ex markets $31 billion 30% excluding prior years net investment securities losses 21% largely higher asset management fees investment banking fees']
4q24-earnings-transcript.pdf,4,"And Markets revenue was up $1.2 billion or 21%. Expenses of $22.8 billion were down $1.7 billion or 7% year-on-year. Excluding the prior year's FDIC special assessment, expenses were up $1.2
billion or 5%, predominantly driven by compensation as well as higher brokerage and distribution fees. And credit costs were $2.6 billion,
reflecting net charge-offs of $2.4 billion and a net reserve of $267 million. you can see the reported results for the full year.",4Q24,2025-01-15,"['markets', 'revenue', '', 'billion', 'expenses', '', 'billion', '', 'billion', 'yearonyear', 'excluding', 'prior', 'year', 'fdic', 'special', 'assessment', 'expenses', '', 'billion', 'predominantly', 'driven', 'compensation', 'well', 'higher', 'brokerage', 'distribution', 'fees', 'credit', 'costs', '', 'billion', 'reflecting', 'net', 'chargeoffs', '', 'billion', 'net', 'reserve', 'million', 'see', 'reported', 'results', 'full', 'year']",['markets revenue $12 billion 21% expenses $228 billion $17 billion 7% year-on-year excluding prior years fdic special assessment expenses $12 billion 5% predominantly driven compensation well higher brokerage distribution fees credit costs $26 billion reflecting net charge-offs $24 billion net reserve $267 million see reported results full year']
4q24-earnings-transcript.pdf,5,"I'll
remind you that there were a number of significant items in 2024. Excluding those items, the Firm reported net income of $54 billion, EPS of
$18.22, revenue of $173 billion, and we delivered an ROTCE of 20%. Touching on a couple of highlights for the year. In CCB, we had a record
number of first-time investors and acquired nearly 10 million new card accounts. In CIB, we had record revenue in Markets, Payments and
Securities Services.",4Q24,2025-01-15,"['ll', 'remind', 'number', 'significant', 'items', '', 'excluding', 'items', 'firm', 'reported', 'net', 'income', 'billion', 'eps', '', 'revenue', 'billion', 'delivered', 'rotce', 'touching', 'couple', 'highlights', 'year', 'ccb', 'record', 'number', 'firsttime', 'investors', 'acquired', 'nearly', 'million', 'new', 'card', 'accounts', 'cib', 'record', 'revenue', 'markets', 'payments', 'securities', 'services']",['ill remind number significant items 2024 excluding items firm reported net income $54 billion eps $1822 revenue $173 billion delivered rotce 20% touching couple highlights year ccb record number first-time investors acquired nearly 10 million new card accounts cib record revenue markets payments securities services']
4q24-earnings-transcript.pdf,6,"And in AWM, we had record long-term net inflows of $234 billion, positive across all channels, regions and asset classes. On to balance sheet and capital on page 4. We ended the quarter with a CET1 ratio of 15.7%, up 40 basis points versus the prior quarter, as net
income and lower RWA were largely offset by both OCI losses and capital distributions, which included $4 billion of net common share
repurchases this quarter.",4Q24,2025-01-15,"['awm', 'record', 'longterm', 'net', 'inflows', 'billion', 'positive', 'across', 'channels', 'regions', 'asset', 'classes', 'balance', 'sheet', 'capital', 'page', 'ended', 'quarter', 'cet', 'ratio', '', 'basis', 'points', 'versus', 'prior', 'quarter', 'net', 'income', 'lower', 'rwa', 'largely', 'offset', 'oci', 'losses', 'capital', 'distributions', 'included', 'billion', 'net', 'common', 'share', 'repurchases', 'quarter']",['awm record long-term net inflows $234 billion positive across channels regions asset classes balance sheet capital page 4 ended quarter cet1 ratio 157% 40 basis points versus prior quarter net income lower rwa largely offset oci losses capital distributions included $4 billion net common share repurchases quarter']
4q24-earnings-transcript.pdf,7,"The $24 billion decrease in RWA reflects a seasonal decline in Markets activity and lower wholesale lending, which
was predominantly offset by a seasonal increase in Card. Now, let's go to our businesses starting with CCB on page 5. CCB reported net income of $4.5 billion on revenue of $18.4 billion, which was up 1% year-on-year.",4Q24,2025-01-15,"['billion', 'decrease', 'rwa', 'reflects', 'seasonal', 'decline', 'markets', 'activity', 'lower', 'wholesale', 'lending', 'predominantly', 'offset', 'seasonal', 'increase', 'card', 'now', 'let', 'businesses', 'starting', 'ccb', 'page', 'ccb', 'reported', 'net', 'income', '', 'billion', 'revenue', '', 'billion', 'yearonyear']",['$24 billion decrease rwa reflects seasonal decline markets activity lower wholesale lending predominantly offset seasonal increase card now lets go businesses starting ccb page 5 ccb reported net income $45 billion revenue $184 billion 1% year-on-year']
4q24-earnings-transcript.pdf,8,"In Banking & Wealth Management, revenue
was down 7% year-on-year on deposit margin compression and lower deposits, partially offset by growth in Wealth Management revenues. Average deposits were down 4% year-on-year and flat sequentially as consumer balances have stabilized. Client investment assets were up
14% year-on-year, predominantly driven by market performance, and we continue to see healthy flows across branch and digital channels.",4Q24,2025-01-15,"['banking', 'wealth', 'management', 'revenue', 'yearonyear', 'deposit', 'margin', 'compression', 'lower', 'deposits', 'partially', 'offset', 'growth', 'wealth', 'management', 'revenues', 'average', 'deposits', 'yearonyear', 'flat', 'sequentially', 'consumer', 'balances', 'stabilized', 'client', 'investment', 'assets', 'yearonyear', 'predominantly', 'driven', 'market', 'performance', 'continue', 'see', 'healthy', 'flows', 'across', 'branch', 'digital', 'channels']",['banking & wealth management revenue 7% year-on-year deposit margin compression lower deposits partially offset growth wealth management revenues average deposits 4% year-on-year flat sequentially consumer balances stabilized client investment assets 14% year-on-year predominantly driven market performance continue see healthy flows across branch digital channels']
4q24-earnings-transcript.pdf,9,"In
Home Lending, revenue was up 12% year-on-year, predominantly driven by higher production revenue. Turning to Card Services & Auto,
revenue was up 14% year-on-year, largely driven by Card NII on higher revolving balances. Card outstandings were up 11% due to strong
account acquisition and revolve growth. And in Auto, originations were $10.6 billion, up 7%, reflecting higher lease volume on robust new
vehicle inventory.",4Q24,2025-01-15,"['home', 'lending', 'revenue', 'yearonyear', 'predominantly', 'driven', 'higher', 'production', 'revenue', 'turning', 'card', 'services', 'auto', 'revenue', 'yearonyear', 'largely', 'driven', 'card', 'nii', 'higher', 'revolving', 'balances', 'card', 'outstandings', 'due', 'strong', 'account', 'acquisition', 'revolve', 'growth', 'auto', 'originations', '', 'billion', 'reflecting', 'higher', 'lease', 'volume', 'robust', 'new', 'vehicle', 'inventory']",['home lending revenue 12% year-on-year predominantly driven higher production revenue turning card services & auto revenue 14% year-on-year largely driven card nii higher revolving balances card outstandings 11% due strong account acquisition revolve growth auto originations $106 billion 7% reflecting higher lease volume robust new vehicle inventory']
4q24-earnings-transcript.pdf,10,"Expenses of $9.7 billion were up 4% year-on-year, predominantly driven by field compensation and growth in technology. In terms of credit
performance this quarter, credit costs were $2.6 billion, reflecting net charge-offs of $2.1 billion, up $428 million year-on-year, driven by Card. The net reserve build was $557 million, predominantly driven by higher Card revolving balances. Next, the Commercial & Investment Bank on page 6.",4Q24,2025-01-15,"['expenses', '', 'billion', 'yearonyear', 'predominantly', 'driven', 'field', 'compensation', 'growth', 'technology', 'terms', 'credit', 'performance', 'quarter', 'credit', 'costs', '', 'billion', 'reflecting', 'net', 'chargeoffs', '', 'billion', 'million', 'yearonyear', 'driven', 'card', 'net', 'reserve', 'build', 'million', 'predominantly', 'driven', 'higher', 'card', 'revolving', 'balances', 'next', 'commercial', 'investment', 'bank', 'page']",['expenses $97 billion 4% year-on-year predominantly driven field compensation growth technology terms credit performance quarter credit costs $26 billion reflecting net charge-offs $21 billion $428 million year-on-year driven card net reserve build $557 million predominantly driven higher card revolving balances next commercial & investment bank page 6']
