question_speaker,question_job_title,question,answer_speaker,answer_job_title,answer,filename,financial_quarter,call_date,question_tokenised_data,question_cleaned_data,answer_tokenised_data,answer_cleaned_data
"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorganChase","Very good. We can go to the next question. Thanks. Yeah. Operator: Thank you. Our next question comes from Matt O'Connor with Deutsche Bank. Your line is open. Matt O'Connor Analyst, Deutsche Bank Securities, Inc. Q Good morning. It seems like you guys have backed off the view that you're materially over-earning on net interest income. And is this all because of the higher rate environment that's expected now? Or is it also partly a different view on deposit pricing, specifically on the consumer side, which I think you had assumed it would reprice a bit more than we've seen?",,,,4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['good', 'next', 'question', 'thanks', 'yeah', 'operator', 'thank', 'you', 'next', 'question', 'come', 'matt', 'oconnor', 'deutsche', 'bank', 'line', 'open', 'matt', 'oconnor', 'analyst', 'deutsche', 'bank', 'security', 'inc', 'good', 'morning', 'seems', 'like', 'guy', 'backed', 'view', 'materially', 'overearning', 'net', 'interest', 'income', 'higher', 'rate', 'environment', 'that', 'expected', 'now', 'also', 'partly', 'different', 'view', 'deposit', 'pricing', 'specifically', 'consumer', 'side', 'think', 'assumed', 'would', 'reprice', 'bit', 've', 'seen']",['good go next question thanks yeah operator: thank you next question comes matt oconnor deutsche bank line open matt oconnor analyst deutsche bank securities inc q good morning seems like guys backed view materially over-earning net interest income higher rate environment thats expected now also partly different view deposit pricing specifically consumer side think assumed would reprice bit weve seen'],['nan'],['nan']
"Jim Mitchell, Analyst, Seaport Global Securities LLC","Analyst, Seaport Global Securities LLC","Okay. Great. Thanks. Operator: Thank you. Next, we will go to the line of Erika Najarian from UBS. Your line is open. 8","Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorganChase","Right, Erika. Okay. You are tempting me with many rabbit holes that are very deep. But let's try and address this not too much great length. First of all, G-SIB. So, yes, it was a high print in the third quarter, but we had normal seasonality third quarter and fourth quarter. So, while our current view of G-SIB number is an estimate, we're quite confident that we wound up comfortably in the 5% bucket just as a result of normal seasonality. It was actually a relatively quiet December in terms of the types of year-end things that sometimes create pressures of various types. So that is more or less what you might have otherwise expected in terms of our typical seasonal patterns. So, not much to see there. And the obvious point also being that even under the existing proposed G-SIB rule, which is obviously a little bit hung up, with the smaller buckets and some of the recalibration and so on, it's not even sort of obvious that it would have mattered one way or the other. But, anyway, for now, we're managing to the current rules, and normal seasonality took us back under 5%. Okay, you mentioned the lawsuit. I think the only thing to say about that is that we are happy to see the clear recognition on the part of the Fed that many of the things that we've been talking about for a long time in terms of transparency and volatility, and some of the non-substantive bureaucratic burden associated with the CCAR process needs improvement. So, that's great. I think I won't speak for the industry bodies that were the actual litigants, but it seems to me, if you just read what they said publicly in their press releases, this is as much as anything about preserving rights in light of the statute of limitations deadlines that were coming up. So, let's just hope that we see some significant progress on that front. And then, taking a step back, at a high level, what you're really asking me is, what is our core view about, and I think probably the best way to think about this is just through the lens of the numerator, actually. What is our core view about if you just, for the sake of argument, assume modest growth in the normalized amount of economic denominator, like actual need for capital organically, what will be the likely additional numerator that will be needed or not as a function of the environment. And the way we're increasingly thinking about that is just doing different scenario analysis of like flat numerator, up 5% numerator, up 10% numerator, up 20% numerator. I guess there could be some versions of the world where the numerator's a little less. And then guessing about our central case and comparing our projected capital amount to that number to determine the excess. And as you point out, at 15.7%, and I think the actual quantum of the numerator is something like $275 billion, through pretty much any reasonable lens, it's a ton of excess, which is why we've concluded that it doesn't need to grow anymore.",4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['okay', 'great', 'thanks', 'operator', 'thank', 'you', 'next', 'line', 'erika', 'najarian', 'ubs', 'line', 'open']",['okay great thanks operator: thank you next go line erika najarian ubs line open 8'],"['right', 'erika', 'okay', 'tempting', 'many', 'rabbit', 'hole', 'deep', 'let', 'try', 'address', 'much', 'great', 'length', 'first', 'all', 'gsib', 'yes', 'high', 'print', 'third', 'quarter', 'normal', 'seasonality', 'third', 'quarter', 'fourth', 'quarter', 'current', 'view', 'gsib', 'number', 'estimate', 're', 'quite', 'confident', 'wound', 'comfortably', 'bucket', 'result', 'normal', 'seasonality', 'actually', 'relatively', 'quiet', 'december', 'term', 'type', 'yearend', 'thing', 'sometimes', 'create', 'pressure', 'various', 'type', 'less', 'might', 'otherwise', 'expected', 'term', 'typical', 'seasonal', 'pattern', 'much', 'see', 'there', 'obvious', 'point', 'also', 'even', 'existing', 'proposed', 'gsib', 'rule', 'obviously', 'little', 'bit', 'hung', 'smaller', 'bucket', 'recalibration', 'even', 'sort', 'obvious', 'would', 'mattered', 'one', 'way', 'other', 'but', 'anyway', 'now', 're', 'managing', 'current', 'rule', 'normal', 'seasonality', 'took', 'back', 'okay', 'mentioned', 'lawsuit', 'think', 'thing', 'say', 'happy', 'see', 'clear', 'recognition', 'part', 'fed', 'many', 'thing', 've', 'talking', 'long', 'time', 'term', 'transparency', 'volatility', 'nonsubstantive', 'bureaucratic', 'burden', 'associated', 'ccar', 'process', 'need', 'improvement', 'that', 'great', 'think', 'speak', 'industry', 'body', 'actual', 'litigant', 'seems', 'read', 'said', 'publicly', 'press', 'release', 'much', 'anything', 'preserving', 'right', 'light', 'statute', 'limitation', 'deadline', 'coming', 'let', 'hope', 'see', 'significant', 'progress', 'front', 'then', 'taking', 'step', 'back', 'high', 'level', 'really', 'asking', 'core', 'view', 'about', 'think', 'probably', 'best', 'way', 'think', 'lens', 'numerator', 'actually', 'core', 'view', 'just', 'sake', 'argument', 'assume', 'modest', 'growth', 'normalized', 'amount', 'economic', 'denominator', 'like', 'actual', 'need', 'capital', 'organically', 'likely', 'additional', 'numerator', 'needed', 'function', 'environment', 'way', 're', 'increasingly', 'thinking', 'different', 'scenario', 'analysis', 'like', 'flat', 'numerator', 'numerator', 'numerator', 'numerator', 'guess', 'could', 'version', 'world', 'numerator', 'little', 'less', 'guessing', 'central', 'case', 'comparing', 'projected', 'capital', 'amount', 'number', 'determine', 'excess', 'point', 'out', '', 'think', 'actual', 'quantum', 'numerator', 'something', 'like', 'billion', 'pretty', 'much', 'reasonable', 'lens', 'ton', 'excess', 've', 'concluded', 'need', 'grow', 'anymore']",['right erika okay tempting many rabbit holes deep lets try address much great length first all g-sib so yes high print third quarter normal seasonality third quarter fourth quarter so current view g-sib number estimate were quite confident wound comfortably 5% bucket result normal seasonality actually relatively quiet december terms types year-end things sometimes create pressures various types less might otherwise expected terms typical seasonal patterns so much see there obvious point also even existing proposed g-sib rule obviously little bit hung up smaller buckets recalibration on even sort obvious would mattered one way other but anyway now were managing current rules normal seasonality took us back 5% okay mentioned lawsuit think thing say happy see clear recognition part fed many things weve talking long time terms transparency volatility non-substantive bureaucratic burden associated ccar process needs improvement so thats great think speak industry bodies actual litigants seems me read said publicly press releases much anything preserving rights light statute limitations deadlines coming up so lets hope see significant progress front then taking step back high level really asking is core view about think probably best way think lens numerator actually core view just sake argument assume modest growth normalized amount economic denominator like actual need capital organically likely additional numerator needed function environment way were increasingly thinking different scenario analysis like flat numerator 5% numerator 10% numerator 20% numerator guess could versions world numerators little less guessing central case comparing projected capital amount number determine excess point out 157% think actual quantum numerator something like $275 billion pretty much reasonable lens ton excess weve concluded need grow anymore']
"Jim Mitchell, Analyst, Seaport Global Securities LLC","Analyst, Seaport Global Securities LLC","Yeah. No, that makes sense. And maybe just as a follow-up, just on loan growth. Have you – since the election, it seems like CEO confidence, business confidence has increased. So, are you starting to see any improvement in demand on lending? Just any thoughts there would be great.","Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorganChase","Yeah, it's a good question. And I think given the significant improvement in business sentiment and the general optimism out there, you might have expected to see some pickup in loan growth. We are not really seeing that. I don't particularly think that's a negative. I think it's probably explained by a combination of wide-open capital markets, and so many of the larger corporates accessing the capital markets and healthy balance sheets in small businesses and maybe some residual caution. And maybe there are some pockets and some industries where some aspects of the policy uncertainty that we might be facing are making them a little bit more cautious than they otherwise would be about what they're executing in the near-term. But, we'll see what the new year brings as the current optimism starts getting tested with reality, one way or the other. And maybe if it materializes with tangible improvements and things one way or the other, you'll actually see that come through C&I loan growth in particular.",4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['yeah', 'make', 'sense', 'maybe', 'followup', 'loan', 'growth', 'since', 'election', 'seems', 'like', 'ceo', 'confidence', 'business', 'confidence', 'increased', 'starting', 'see', 'improvement', 'demand', 'lending', 'thought', 'would', 'great']",['yeah no makes sense maybe follow-up loan growth – since election seems like ceo confidence business confidence increased so starting see improvement demand lending thoughts would great'],"['yeah', 'good', 'question', 'think', 'given', 'significant', 'improvement', 'business', 'sentiment', 'general', 'optimism', 'there', 'might', 'expected', 'see', 'pickup', 'loan', 'growth', 'really', 'seeing', 'that', 'particularly', 'think', 'that', 'negative', 'think', 'probably', 'explained', 'combination', 'wideopen', 'capital', 'market', 'many', 'larger', 'corporates', 'accessing', 'capital', 'market', 'healthy', 'balance', 'sheet', 'small', 'business', 'maybe', 'residual', 'caution', 'maybe', 'pocket', 'industry', 'aspect', 'policy', 'uncertainty', 'might', 'facing', 'making', 'little', 'bit', 'cautious', 'otherwise', 'would', 'they', 're', 'executing', 'nearterm', 'but', 'll', 'see', 'new', 'year', 'brings', 'current', 'optimism', 'start', 'getting', 'tested', 'reality', 'one', 'way', 'other', 'maybe', 'materializes', 'tangible', 'improvement', 'thing', 'one', 'way', 'other', 'actually', 'see', 'come', 'loan', 'growth', 'particular']",['yeah good question think given significant improvement business sentiment general optimism there might expected see pickup loan growth really seeing that particularly think thats negative think probably explained combination wide-open capital markets many larger corporates accessing capital markets healthy balance sheets small businesses maybe residual caution maybe pockets industries aspects policy uncertainty might facing making little bit cautious otherwise would theyre executing near-term but well see new year brings current optimism starts getting tested reality one way other maybe materializes tangible improvements things one way other actually see come c&i loan growth particular']
"Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorganChase","Can I just add, no that's great. Jeremy gave it all. Let me add three quick things. Liquidity is also equally important. There's been a lot of recognition that what counts as liquidity and discount windows and how LCR is done I think is very important. Second is competition. All these things should be done in light of looking at what kind of public markets you want, what kind of private markets you want, what do you want in the banking system, what you want out of the banking system. And the third is I think most people realize there is a huge need to take a step back and look at the Byzantine, Balkanized system we built which has negatives, and even the regulators will tell you that. So, at one point, just take a deep breath. As Jeremy said, let's do the right thing and continue to have the best financial system in the world.",,,,4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['add', 'that', 'great', 'jeremy', 'gave', 'all', 'let', 'add', 'three', 'quick', 'thing', 'liquidity', 'also', 'equally', 'important', 'there', 'lot', 'recognition', 'count', 'liquidity', 'discount', 'window', 'lcr', 'done', 'think', 'important', 'second', 'competition', 'thing', 'done', 'light', 'looking', 'kind', 'public', 'market', 'want', 'kind', 'private', 'market', 'want', 'want', 'banking', 'system', 'want', 'banking', 'system', 'third', 'think', 'people', 'realize', 'huge', 'need', 'take', 'step', 'back', 'look', 'byzantine', 'balkanized', 'system', 'built', 'negative', 'even', 'regulator', 'tell', 'that', 'one', 'point', 'take', 'deep', 'breath', 'jeremy', 'said', 'let', 'right', 'thing', 'continue', 'best', 'financial', 'system', 'world']",['add thats great jeremy gave all let add three quick things liquidity also equally important theres lot recognition counts liquidity discount windows lcr done think important second competition things done light looking kind public markets want kind private markets want want banking system want banking system third think people realize huge need take step back look byzantine balkanized system built negatives even regulators tell that so one point take deep breath jeremy said lets right thing continue best financial system world'],['nan'],['nan']
"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorganChase","everything, more capital, more liquidity, that uses data and that balances the obvious goal that we all share of a safe and sound banking system with actually recognizing that banks play a critical role in supporting growth, and the hope is that we get some of that. And that also, while we're at it, some aspects of the supervisory framework get a little bit less bureaucratic and a little less adversarial and a little bit more substantive so that at the margin, management can focus its time on the things that matter the most. So, whether capital goes up, down, stays flat is really so complicated because it's not just Basel III Endgame, it's also a G-SIB, it's also a number of other factors. And that's why we keep hammering away on the importance of doing all of this holistically, properly with the right analysis. And if that takes time, so be it.",,,,4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['everything', 'capital', 'liquidity', 'us', 'data', 'balance', 'obvious', 'goal', 'share', 'safe', 'sound', 'banking', 'system', 'actually', 'recognizing', 'bank', 'play', 'critical', 'role', 'supporting', 'growth', 'hope', 'get', 'that', 'also', 're', 'aspect', 'supervisory', 'framework', 'get', 'little', 'bit', 'less', 'bureaucratic', 'little', 'less', 'adversarial', 'little', 'bit', 'substantive', 'margin', 'management', 'focus', 'time', 'thing', 'matter', 'most', 'whether', 'capital', 'go', 'down', 'stay', 'flat', 'really', 'complicated', 'basel', 'iii', 'endgame', 'also', 'gsib', 'also', 'number', 'factor', 'that', 'keep', 'hammering', 'away', 'importance', 'holistically', 'properly', 'right', 'analysis', 'take', 'time']",['everything capital liquidity uses data balances obvious goal share safe sound banking system actually recognizing banks play critical role supporting growth hope get that also were it aspects supervisory framework get little bit less bureaucratic little less adversarial little bit substantive margin management focus time things matter most so whether capital goes up down stays flat really complicated basel iii endgame also g-sib also number factors thats keep hammering away importance holistically properly right analysis takes time it'],['nan'],['nan']
"Mike Mayo, Analyst, Wells Fargo Securities LLC","Analyst, Wells Fargo Securities LLC",All right. Thank you. Operator: Thank you. Our next question comes from Jim Mitchell with Seaport Global Securities. You may proceed.,"Jeremy Barnum, Chief Financial Officer, JPMorgan Chase","Chief Financial Officer, JPMorganChase","Hey, Jim. I mean, it's obviously something we're thinking about a lot. But I could go down some pretty deep rabbit holes speculating on all the different parts of the framework and how they could evolve, and I just don't really think that's productive right now. But let me make some attempt to answer your question. So, backing up a second, if you read Jamie's quotes, they're very consistent with what we've been saying as a company for a long time, which is that all we want is a coherent, rational, holistically-assessed regulatory framework that allows banks to do their job, supporting the economy, that isn't reflexively anti-bank, that doesn't default to the answer to every question being more of 7",4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['right', 'thank', 'you', 'operator', 'thank', 'you', 'next', 'question', 'come', 'jim', 'mitchell', 'seaport', 'global', 'security', 'may', 'proceed']",['right thank you operator: thank you next question comes jim mitchell seaport global securities may proceed'],"['hey', 'jim', 'mean', 'obviously', 'something', 're', 'thinking', 'lot', 'could', 'pretty', 'deep', 'rabbit', 'hole', 'speculating', 'different', 'part', 'framework', 'could', 'evolve', 'really', 'think', 'that', 'productive', 'right', 'now', 'let', 'make', 'attempt', 'answer', 'question', 'backing', 'second', 'read', 'jamie', 'quote', 'they', 're', 'consistent', 've', 'saying', 'company', 'long', 'time', 'want', 'coherent', 'rational', 'holisticallyassessed', 'regulatory', 'framework', 'allows', 'bank', 'job', 'supporting', 'economy', 'reflexively', 'antibank', 'default', 'answer', 'every', 'question']",['hey jim mean obviously something were thinking lot could go pretty deep rabbit holes speculating different parts framework could evolve really think thats productive right now let make attempt answer question so backing second read jamies quotes theyre consistent weve saying company long time want coherent rational holistically-assessed regulatory framework allows banks job supporting economy reflexively anti-bank default answer every question 7']
"Mike Mayo, Analyst, Wells Fargo Securities LLC","Analyst, Wells Fargo Securities LLC","So, you'll stay around maybe for a few more years base case right now?","Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorganChase","Basic case, yeah.",4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['stay', 'around', 'maybe', 'year', 'base', 'case', 'right', 'now']",['so stay around maybe years base case right now'],"['basic', 'case', 'yeah']",['basic case yeah']
"Mike Mayo, Analyst, Wells Fargo Securities LLC","Analyst, Wells Fargo Securities LLC",Who's your successor?,"Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorganChase","Oh, yeah. This is an unfortunate thing for any big company like this where these people have to be in the spotlight all the time and always to-ing and fro-ing. We have several exceptional people. You guys know most of them. There's maybe one or two you don't know. The Board reviews and meets with them all the time. I think it's wonderful that Jenn Piepszak, who does not want to be the CEO, will be here as Chief Operating Officer and stay after that. So, obviously, she's going to work with those people which I think is great for a company, just having continuity of management and leadership, and will be one of those people. And obviously, we're not going to tell the press, but it's not determined yet. And of course, the last minute, a couple years from now people get sick, they change their mind, have family circumstances. So, even if you thought you knew today, you couldn't be completely sure.",4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['who', 'successor']",['whos successor'],"['yeah', 'unfortunate', 'thing', 'big', 'company', 'like', 'people', 'spotlight', 'time', 'always', 'toing', 'froing', 'several', 'exceptional', 'people', 'guy', 'know', 'them', 'there', 'maybe', 'one', 'two', 'know', 'board', 'review', 'meet', 'time', 'think', 'wonderful', 'jenn', 'piepszak', 'want', 'ceo', 'chief', 'operating', 'officer', 'stay', 'that', 'obviously', 'going', 'work', 'people', 'think', 'great', 'company', 'continuity', 'management', 'leadership', 'one', 'people', 'obviously', 're', 'going', 'tell', 'press', 'determined', 'yet', 'course', 'last', 'minute', 'couple', 'year', 'people', 'get', 'sick', 'change', 'mind', 'family', 'circumstance', 'even', 'thought', 'knew', 'today', 'completely', 'sure']",['oh yeah unfortunate thing big company like people spotlight time always to-ing fro-ing several exceptional people guys know them theres maybe one two know board reviews meets time think wonderful jenn piepszak want ceo chief operating officer stay that so obviously going work people think great company continuity management leadership one people obviously were going tell press determined yet course last minute couple years people get sick change mind family circumstances so even thought knew today completely sure']
"Mike Mayo, Analyst, Wells Fargo Securities LLC","Analyst, Wells Fargo Securities LLC","Hi. Simple and then more difficult, I guess. Jamie, who's your successor? And then the second question is, I know I asked the question at Investor Day, why not stay as CEO a little bit longer? I think what I'm hearing from investors now, it goes up and down, but I think investors would like you to stay. So, why say you're going to stay less than five years? You're finally getting what you wanted, 15 years, your spaghetti chart about the regulatory structure and the unpredictability of capital requirements and regulatory costs, and it seems like you're finally getting what you've been playing for. So, why not stay around a bit longer if investors want you to do so? And what would you do otherwise anyway? You don't play golf. You aren't going to be Treasury Secretary. Seems like your work is your hobby, right? So how much longer would you stay around?","Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorganChase","I do love what I do. And answering the second question first, look, we're on a path. The path is not just about me, it's about the other senior people in the company. It's about the Board. If I'm here for several more years, and I may or may not be Chairman. That's going to be up to the Board. Does it really fit the new CEO and stuff like that? You're talking potentially four, five years or more. I'll be 69 in March. I think it's the rational thing to do. I've had a couple health problems, you know. I just think it makes a lot of sense, and so – and what was your first question again? 6",4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['simple', 'difficult', 'guess', 'jamie', 'who', 'successor', 'second', 'question', 'know', 'asked', 'question', 'investor', 'day', 'stay', 'ceo', 'little', 'bit', 'longer', 'think', 'hearing', 'investor', 'now', 'go', 'down', 'think', 'investor', 'would', 'like', 'stay', 'say', 'going', 'stay', 'less', 'five', 'year', 'finally', 'getting', 'wanted', 'year', 'spaghetti', 'chart', 'regulatory', 'structure', 'unpredictability', 'capital', 'requirement', 'regulatory', 'cost', 'seems', 'like', 'finally', 'getting', 'playing', 'for', 'stay', 'around', 'bit', 'longer', 'investor', 'want', 'would', 'otherwise', 'anyway', 'play', 'golf', 'going', 'treasury', 'secretary', 'seems', 'like', 'work', 'hobby', 'right', 'much', 'longer', 'would', 'stay', 'around']",['hi simple difficult guess jamie whos successor second question is know asked question investor day stay ceo little bit longer think im hearing investors now goes down think investors would like stay so say going stay less five years finally getting wanted 15 years spaghetti chart regulatory structure unpredictability capital requirements regulatory costs seems like finally getting playing for so stay around bit longer investors want so would otherwise anyway play golf going treasury secretary seems like work hobby right much longer would stay around'],"['love', 'answering', 'second', 'question', 'first', 'look', 're', 'path', 'path', 'senior', 'people', 'company', 'board', 'several', 'year', 'may', 'may', 'chairman', 'that', 'going', 'board', 'really', 'fit', 'new', 'ceo', 'stuff', 'like', 'that', 'talking', 'potentially', 'four', 'five', 'year', 'more', 'll', 'march', 'think', 'rational', 'thing', 've', 'couple', 'health', 'problem', 'know', 'think', 'make', 'lot', 'sense', 'first', 'question', 'again']",['love do answering second question first look were path path me senior people company board im several years may may chairman thats going board really fit new ceo stuff like that talking potentially four five years more ill 69 march think rational thing do ive couple health problems know think makes lot sense – first question again 6']
"John McDonald, Analyst, Autonomous Research","Analyst, Truist Securities, Inc.",Very helpful. Thank you.,"Jamie Dimon, Chairman & Chief Executive Officer, JPMorgan Chase","Chairman & Chief Executive Officer, JPMorganChase","Efficiently said. Operator: Thank you. Next, we will go to the line of Mike Mayo from Wells Fargo Securities. You may proceed.",4q24-earnings-transcript.pdf,4Q24,2025-01-15,"['helpful', 'thank', 'you']",['helpful thank you'],"['efficiently', 'said', 'operator', 'thank', 'you', 'next', 'line', 'mike', 'mayo', 'well', 'fargo', 'security', 'may', 'proceed']",['efficiently said operator: thank you next go line mike mayo wells fargo securities may proceed']
