speaker,job_title,utterance,call_date,financial_quarter,source_file,ex_dummy,category,question,answer
Chis Hallam,Goldman,"Chis Hallam, Goldman Sachs Yes. Good morning, everybody. Firstly, on the future capital requirements, at the time of the announcement, FINMA said that a larger bank would require higher capital buffers. Have you had any further clarity on the size of that increase in capital requirement, and particularly to what extent those higher capital requirements may be influenced by the ultimate perimeter of the group? And I suppose any thoughts you have around how those decisions will ultimately feed into the timing of future capital return decisions? That's the first question. And then secondly, in the report this morning, you've outlined that the Emergency Ordinance provides for the loss sharing agreement with the Swiss Confederation, but that the Emergency Ordinance will expire within six months of its issuance date, after which time those measures would need to be codified into law by the Swiss parliament. Does that mean that the loss sharing guarantees still are effectively subject to parliamentary approval in six months' time? And if so, what are your confidence levels in getting those approvals?",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Goldman,"Chis Hallam, Goldman Sachs Yes. Good morning, everybody. Firstly, on the future capital requirements, at the time of the announcement, FINMA said that a larger bank would require higher capital buffers. Have you had any further clarity on the size of that increase in capital requirement, and particularly to what extent those higher capital requirements may be influenced by the ultimate perimeter of the group? And I suppose any thoughts you have around how those decisions will ultimately feed into the timing of future capital return decisions? That's the first question. And then secondly, in the report this morning, you've outlined that the Emergency Ordinance provides for the loss sharing agreement with the Swiss Confederation, but that the Emergency Ordinance will expire within six months of its issuance date, after which time those measures would need to be codified into law by the Swiss parliament. Does that mean that the loss sharing guarantees still are effectively subject to parliamentary approval in six months' time? And if so, what are your confidence levels in getting those approvals?",
Chris Hallam,Goldman Sachs,Very clear. Thanks.,25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Goldman,Very clear. Thanks.,
Kian Abouhossein,JPMorgan,"Yeah. Thanks. Just two questions. The first one is related to the book value per share guidance that you gave of the 74% increase on day one. Just wondering if that still holds, first of all, at this point, or has that changed post your further analysis. And in that context, should we assume that the purchase accounting, restructuring, asset marks, etcetera, should be captured by the reserves that is being built off what we estimate 21 billion. The second question is in relation to more top down. How we should think about the impact on clients at this point and also retention of clients, especially in wealth management at this point already. And how we should think about retention of clients post the event, the clients that have left. How should we think about your position after that?",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,JPMorgan,"Yeah. Thanks. Just two questions. The first one is related to the book value per share guidance that you gave of the 74% increase on day one. Just wondering if that still holds, first of all, at this point, or has that changed post your further analysis. And in that context, should we assume that the purchase accounting, restructuring, asset marks, etcetera, should be captured by the reserves that is being built off what we estimate 21 billion. The second question is in relation to more top down. How we should think about the impact on clients at this point and also retention of clients, especially in wealth management at this point already. And how we should think about retention of clients post the event, the clients that have left. How should we think about your position after that?","So, when we give you the 74%, we focused intentionally on what we viewed as economic impact, i.e. what impacts CET1 and if you continue to do it that way, actually the numbers are very stable. Of course, we are continuing to do the work on the PPA and we're going to continue to do so. And the PPA was, of course, included in the estimates that we had given you."
Kian Abouhossein,JPMorgan,"Sorry if I may. The 74% also includes - but does clearly not include additional charges to the P&L and the rest comes to the P&L, we should assume.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,JPMorgan,,
Kian Abouhossein,JPMorgan,Ok.,25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,JPMorgan,Ok.,
Alastair Ryan,Bank of America,"Yeah. Thank you. Good morning. Welcome back, Sergio. On the comments you made on the Bloomberg TV interview earlier about the importance of centrality, essentiality of ongoing profitability, which was absolutely borne out in recent months. Clearly the combined group has an exceptionally strong capital position on a pro forma basis, which gives you the opportunity to move quite quickly in two ways, one in a sort of actual effect in the merger and taking financial reserves against that. So, should we think about going quickly as essential to your plans because you’ve got the financial conditions to do it? Clearly, that was something that Credit Suisse did not enjoy. They had some ambitions to restructure that they needed to pass through the P&L over time, which constrain their profitability a long way into the future. Thank you.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Bank of America,"Yeah. Thank you. Good morning. Welcome back, Sergio. On the comments you made on the Bloomberg TV interview earlier about the importance of centrality, essentiality of ongoing profitability, which was absolutely borne out in recent months. Clearly the combined group has an exceptionally strong capital position on a pro forma basis, which gives you the opportunity to move quite quickly in two ways, one in a sort of actual effect in the merger and taking financial reserves against that. So, should we think about going quickly as essential to your plans because you’ve got the financial conditions to do it? Clearly, that was something that Credit Suisse did not enjoy. They had some ambitions to restructure that they needed to pass through the P&L over time, which constrain their profitability a long way into the future. Thank you.",
Alastair Ryan,Bank of America,Thank you.,25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Bank of America,Thank you.,
Flora Bocahut,Jefferies,"Yes. Good morning. The first question I wanted to ask you is regarding the net new money, so the net new FGA. You gave us some details you know including post the 10 business days that followed the announcement of the deal and thank you for that. I don't think I've seen any comment around the trend in April. So, just wanted to ask you know, what trend you've seen in terms of the customer behavior and especially regarding the NNFGA as well as customer deposits since the quarter ended about three weeks ago. And then I just wanted to come back to the risk around – the you know concentration risk around clients and the overlap on the client base. You made interesting comments regarding the fact that you are underweight certain client segment versus CS, and where you can gain from that transaction. There is another client segment which could lose. Can you maybe provide us more details? Do you mean in wealth management specifically, also in P&C? Can you maybe comment on those client segments? Thank you.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Jefferies,"Yes. Good morning. The first question I wanted to ask you is regarding the net new money, so the net new FGA. You gave us some details you know including post the 10 business days that followed the announcement of the deal and thank you for that. I don't think I've seen any comment around the trend in April. So, just wanted to ask you know, what trend you've seen in terms of the customer behavior and especially regarding the NNFGA as well as customer deposits since the quarter ended about three weeks ago. And then I just wanted to come back to the risk around – the you know concentration risk around clients and the overlap on the client base. You made interesting comments regarding the fact that you are underweight certain client segment versus CS, and where you can gain from that transaction. There is another client segment which could lose. Can you maybe provide us more details? Do you mean in wealth management specifically, also in P&C? Can you maybe comment on those client segments? Thank you.","Yeah. On the client side. I mean, if you look at, for example, in Asia, I think it’s clear that UBS has that perhaps a stronger franchise in North Asia and Credit Suisse has a stronger franchise, relatively speaking, in Southeast Asia. So, I think that the combination of the two is very complementary. Latin America, I mean, in Latin America, we definitely have a situation in which Credit Suisse brings a significant value to our platform. And there, that will make us, if not the leader of non-Latin American players, very close to that. So, a significant step forward. In respect of Switzerland, I would say that usually, SMEs have a relationship with maybe one of the large banks and with a cantonal bank or a regional bank. So, it’s – there is a high likelihood that the same SMEs don’t really have equal a relationship with the two large banks. For that reason, we believe that many of them can be captured. Same issue for retail and personal clients banking. If people have two relationships, usually they have it with a local bank and with a large bank. So, also there. And last but not least, I would say, that it’s fair to say that Credit Suisse has a strong franchise in large corporates in Switzerland, which is also complementary to our own. So, after all, as I say, both in terms of current business mix, but also going back to my remarks. In Switzerland, there are 250 banks. It’s plenty of competition, plenty of cantonal banks, plenty of Raiffeisen Banks. And, therefore, we believe that we will be able to manage this competitive landscape, which is not easy for us through service quality and what we can do differently than others rather than just purely size."
Flora Bocahut,Jefferies,Thank you.,25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Jefferies,,
Andrew Coombs,Citi,"Good morning. Two questions. Firstly, just on slide 10 in your revised net interest income outlook, Q1, you’ve seen a slight increase in NII. So then you are guiding to a mid-single digit decrease for Q2. So that implies Q2 will be slightly below the Q4 run rate. Implicitly, this seems to suggest that Q3, Q4 is roughly then going to be stable based on your full year guidance. So, I’m interested in your thoughts on the offset between rate hikes and then most important of all, deposit migration to money market funds in future quarters. Given that we’re closing in on peak rates, it seems to imply you’re achieving, the deposit migration also slows, but would welcome any commentary on that. And then my second question is actually on the liquidity coverage ratio. I think there’s an active debate as to whether it’s calibrated correctly in light of recent events, particularly the 10% weighting that’s applied to less stable retail deposits. So, interested in any conversations you’ve had on that either with FINMA or the Basel Committee. And likewise, does that mean you’re going to continue to run with an LCR of, you know, north of 160%, given the potential that that ratio might be recalibrated? Thank you.",25 April 2023,1Q23,1q23-earnings-call-remarks.pdf,,Citi,"Good morning. Two questions. Firstly, just on slide 10 in your revised net interest income outlook, Q1, you’ve seen a slight increase in NII. So then you are guiding to a mid-single digit decrease for Q2. So that implies Q2 will be slightly below the Q4 run rate. Implicitly, this seems to suggest that Q3, Q4 is roughly then going to be stable based on your full year guidance. So, I’m interested in your thoughts on the offset between rate hikes and then most important of all, deposit migration to money market funds in future quarters. Given that we’re closing in on peak rates, it seems to imply you’re achieving, the deposit migration also slows, but would welcome any commentary on that. And then my second question is actually on the liquidity coverage ratio. I think there’s an active debate as to whether it’s calibrated correctly in light of recent events, particularly the 10% weighting that’s applied to less stable retail deposits. So, interested in any conversations you’ve had on that either with FINMA or the Basel Committee. And likewise, does that mean you’re going to continue to run with an LCR of, you know, north of 160%, given the potential that that ratio might be recalibrated? Thank you.",
