Index,Quarter-Year,Question,Question_cleaned,Asked By,Role of the person asked the question,Answer,Answer_cleaned,Answered By,Role of the person answered the question
1,1Q23,"So, Jamie, I was actually hoping to get your perspective on how you see the recent developments with SVB impacting the regulatory landscape for the big banks. In your letter you spent a fair amount of time highlighting the consequences of overly stringent capital requirements, the risk of steering more activities to the less regulated nonbanks. But what are some of the changes that you're scenario planning for â€“ whether it's higher capital, increase in FDIC assessment fees? And along those same lines, how you're thinking about the buyback given continued strong capital build, but a lot of macro uncertainty at the moment.",['so jamie actually hoping get perspective see recent developments svb impacting regulatory landscape big banks letter spent fair amount time highlighting consequences overly stringent capital requirements risk steering activities less regulated nonbanks changes scenario planning â€“ whether higher capital increase fdic assessment fees along lines thinking buyback given continued strong capital build lot macro uncertainty moment'],Steven Chubak,"Analyst, Wolfe Research LLC","Well, I think you were already kind of complete with answering your own question there. Look, we're hoping that everyone just takes a deep breath and looks at what happened and the breadth and depth of regulations already in place. Obviously, when something happens like this, you should adjust, think about it. So I think down the road there may be some limitations on held-to-maturity, maybe more TLAC for certain type-size banks, and more scrutiny on interest rate exposure, and stuff like that. But it doesn't have to be a revamp of the whole system, just recalibrating things the right way. And I think it should be done knowing what you want the outcome to be. The outcome you should want is very strong community and regional banks. And certain actions are taken which are drastic â€“ it could actually make them weaker. So, that's all it is. We do expect higher capital from Basel IV, effectively and, obviously there's going to be an FDIC assessment â€“ that'll be what it is.",['well think already kind complete answering question there look were hoping everyone takes deep breath looks happened breadth depth regulations already place obviously something happens like this adjust think it think road may limitations held-to-maturity maybe tlac certain type-size banks scrutiny interest rate exposure stuff like that revamp whole system recalibrating things right way think done knowing want outcome be outcome want strong community regional banks certain actions taken drastic â€“ could actually make weaker so thats is expect higher capital basel iv effectively and obviously theres going fdic assessment â€“ is'],Jamie Dimon,"Chairman & Chief Executive Officer, JPMorgan Chase & Co."
2,1Q23,"Hey, thanks. Good morning. Hey, Jeremy, I was just wondering if you can just give us a little bit more detail on those lower funding expectation points that you made, just in terms of is it because of what you can offer the client that might allow you to kind of keep that beta lower? And maybe you can just kind of wrap it into what your overall beta expectations are in that revised update? Thank you.",['hey thanks good morning hey jeremy wondering give us little bit detail lower funding expectation points made terms offer client might allow kind keep beta lower maybe kind wrap overall beta expectations revised update thank you'],Ken Usdin,"Analyst, Jefferies LLC","Yeah, sure. So let me just summarize the drivers of the change in the outlook. So the primary driver really is lower deposit rate paid expectations across both consumer and wholesale, which, as you mentioned, is driven by a couple factors. So, the change in the rate environment, with cuts coming sooner in the outlook, all else equal, does take some pressure off the reprice. And as you said, we're getting a lot of positive feedback from the field on our product offerings. The short-term CD, in particular, is really getting a lot of positive feedback from our folks in the branches. It's been very attractive to yield-seeking customers. So that's kind of working well. And then on the asset side, we are seeing a little bit higher Card revolve, which is helping. And I'll just remind you that at a conference in February, I suggested that we were already starting to feel like some of the uncertainties we mentioned when giving the guidance had started all moving in the same direction, and that was one of the things that contributed to the upward revision, like all of the uncertainty kind of went the same way. But as Jamie's pointed out â€“ those uncertainties are all still there, we highlight them on the page, and as we look forward to this year and to next year and the medium-term we remain very focused on those.",['yeah sure let summarize drivers change outlook primary driver really lower deposit rate paid expectations across consumer wholesale which mentioned driven couple factors so change rate environment cuts coming sooner outlook else equal take pressure reprice said were getting lot positive feedback field product offerings short-term cd particular really getting lot positive feedback folks branches attractive yield-seeking customers thats kind working well asset side seeing little bit higher card revolve helping ill remind conference february suggested already starting feel like uncertainties mentioned giving guidance started moving direction one things contributed upward revision like uncertainty kind went way jamies pointed â€“ uncertainties still there highlight page look forward year next year medium-term remain focused those'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
3,1Q23,"Hi, thanks. Jeremy, wanted to follow up again on the drivers of the NII revision and the lower rates paid assumption. You mentioned the Fed cuts coming sooner and positive feedback on the customer offers. What about the March events? Do the bank failures there that happened in March 
 in your view, do they slow the reprice intensity because folks are moving other than price reasons? Or they intensify it industry-wide because smaller banks have to reprice to keep their deposits? How do those events influence your view of the reprice?",['hi thanks jeremy wanted follow drivers nii revision lower rates paid assumption mentioned fed cuts coming sooner positive feedback customer offers march events bank failures happened march view slow reprice intensity folks moving price reasons intensify industry-wide smaller banks reprice keep deposits events influence view reprice'],John McDonald,"Analyst, Autonomous Research","Yeah. John, it's a really good question, and we've obviously thought about that. But as we sit here today, I guess I have two answers to that. One is it's not meaningfully affecting our current outlook 
 we don't see it as a major driver. And I think in terms of the larger dynamics that you lay out, it's just a little too early to tell. But from where we are right now, the base case is no real impact.",['yeah john really good question weve obviously thought that sit today guess two answers that one meaningfully affecting current outlook see major driver think terms larger dynamics lay out little early tell right now base case real impact'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
4,1Q23,My first question is you mentioned that your reserve build was driven mostly by worse economic assumptions. I'm wondering if you could update us on what unemployment rate you're assuming in your reserve.,['first question mentioned reserve build driven mostly worse economic assumptions im wondering could update us unemployment rate assuming reserve'],Erika Najarian,"Analyst, UBS Securities LLC","Yeah. So, Erika, as you know, we take 
 not going to go into a lot of detail here 
 but we take the outlook from our economists, we run a bunch of different scenarios and we probability -weight those. The central case outlook from our research team hasn't actually changed, but we felt that in line with what Jamie just said in terms of a little bit of tightening as a result of the events of March, it made sense to add a little bit of weight to our relative adverse case. So we did that, which changed the weighted -average expectation. And I think that the weighted -average peak unemployment that we're using now is something like 5.8%.",['yeah so erika know take going go lot detail take outlook economists run bunch different scenarios probability -weight those central case outlook research team actually changed felt line jamie said terms little bit tightening result events march made sense add little bit weight relative adverse case that changed weighted -average expectation think weighted -average peak unemployment were using something like 58%'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
5,1Q23,"Hey. Good morning. Maybe just a little bit on the deposit, your thought process there. You've seen some inflows. Why do you think that you lose them going forward? And just maybe talk a little bit about the dynamic in pricing â€“ do you feel like given the inflows, do you see some pricing power for the larger banks?",['hey good morning maybe little bit deposit thought process there seen inflows think lose going forward maybe talk little bit dynamic pricing â€“ feel like given inflows see pricing power larger banks'],Jim Mitchell,"Analyst, Seaport Global Securities LLC","Yeah. A couple things there. So, first of all, we don't know. Right? The deposits just came in. We don't know. We're guessing. Number two, the deposits just came in. So, by definition, these are somewhat flighty deposits because they just came into us, so it's prudent and appropriate for us to assume that they won't be particularly stable. Number three, there's a natural amount of internal migration of deposits to money funds so you have to overlay that and that's embedded in our assumptions. And number four, it's a competitive market, and it's entirely possible that people temporarily come to us and then over time decide to go elsewhere. So, for all of those reasons, we're just being realistic about the stickiness of it. If I add, I would say, categorically, there's no pricing power that the bigger banks have because if you look at the pricing â€“ and we look at pricing sheets all the time â€“ every bank is in a slightly different position and every bank is competing in three-month, six-month, nine-month savings rates. And then you have the online banks, you got treasury bills, you got money market funds. There's no pricing power for the bank, but obviously we all have different franchises and we're all in a slightly different position.",['yeah couple things there so first all know right deposits came in know were guessing number two deposits came in so definition somewhat flighty deposits came us prudent appropriate us assume particularly stable number three theres natural amount internal migration deposits money funds overlay thats embedded assumptions number four competitive market entirely possible people temporarily come us time decide go elsewhere so reasons were realistic stickiness it add would say categorically theres pricing power bigger banks look pricing â€“ look pricing sheets time â€“ every bank slightly different position every bank competing three-month six-month nine-month savings rates online banks got treasury bills got money market funds theres pricing power bank obviously different franchises were slightly different position'],"Jeremy Barnum, Jamie Dimon","Chief Financial Officer, JPMorgan Chase & Co.; Chairman & Chief Executive Officer, JPMorgan Chase & Co."
6,1Q23,"In your comments about your CET1 ratio, obviously it came in strong at 13.8%. You've got the GSIB buffer obviously going up next year, and we have the stress test coming this summer or in June â€“ the results â€“ which maybe will lead to banks, including yours, having a higher Stress Capital Buffer. Where should we think about that CET1 ratio being by the end of the year, do you think?",['comments cet1 ratio obviously came strong 138% got gsib buffer obviously going next year stress test coming summer june â€“ results â€“ maybe lead banks including yours higher stress capital buffer think cet1 ratio end year think'],Gerard Cassidy,"Analyst, RBC Capital Markets LLC","Yeah. So a few things on there, Gerard. So we have previously said that we were targeting 13.5% in the first quarter of 2024 as a function of assuming an unchanged SCB, the increased GSIB step and operating with a 50-basis-point buffer. So, the point that Jamie made a second ago, in light of the environment, Basel IV, dry powder, you know, who knows how we'll tweak that going forward. But that's still our base case assumption. Specifically on the stress test, contrary to what I've heard some people argue, our ability to predict the SCB ahead of time from running our own process is actually quite limited. And you'll remember last year that even though we did predict an increase, we were off by almost a factor of two in terms of how big it wound up being, and that was a big surprise for the whole industry. So, we want to be quite humble about our ability to predict the SCB. But having said that, for right now we are assuming it will be unchanged. There are some tailwinds in there through the OCI, but we believe there will likely be some offsets and harsher credit shocks in the number, so for planning purposes right now we're assuming flat for SCB, and we'll know soon enough what that actual number is.",['yeah things there gerard previously said targeting 135% first quarter 2024 function assuming unchanged scb increased gsib step operating 50-basis-point buffer so point jamie made second ago light environment basel iv dry powder know knows well tweak going forward thats still base case assumption specifically stress test contrary ive heard people argue ability predict scb ahead time running process actually quite limited remember last year even though predict increase almost factor two terms big wound being big surprise whole industry so want quite humble ability predict scb said that right assuming unchanged tailwinds oci believe likely offsets harsher credit shocks number planning purposes right were assuming flat scb well know soon enough actual number is'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
7,1Q23,"How much of a issue is oversupply in the market as we think about the next few years going into a weakening economy? And how much of a risk is higher for longer rates in that if the central banks can't cut rates in the next year or two, we will see a ton of more pain because of the re-fi wall that's coming up?",['much issue oversupply market think next years going weakening economy much risk higher longer rates central banks cant cut rates next year two see ton pain re-fi wall thats coming up'],Ebrahim H. Poonawala,"Analyst, Bank of America Merrill Lynch","Yeah, so Ebrahim let me sort of respond narrowly in connection with our portfolio and our exposure, right? So, really, the large majority of our commercial real estate exposure is multi-family lending in supply constrained markets. And I think it's quite important to recognize the difference between that and sort of higher end, higher price point, non-rent controlled, not supply constrained markets. So, our space is really quite different in that respect, and I think that's a big part of the reason the performance has been so good for so long. So, of course, we watch it very carefully and we don't assume that past performance predicts future results here, but I think our multi-family lending portfolio is quite low risk in the scheme of things. Yeah. And then in terms of the office space, as you know, our exposure is quite small. Yes, Jamie, has also mentioned all the re-fi dynamics that you mentioned too are something that the office space is processing one way or the other. Our office exposure is quite modest, very concentrated in Class A buildings in sort of dense urban locations where the return to the office narrative is one of the drivers â€“ is generally in favor of high occupancy. So, again, watching it. There are obviously specific things here and there to pay attention to, but in the scheme of things for us, not a big issue.",['yeah ebrahim let sort respond narrowly connection portfolio exposure right so really large majority commercial real estate exposure multi-family lending supply constrained markets think quite important recognize difference sort higher end higher price point non-rent controlled supply constrained markets so space really quite different respect think thats big part reason performance good long so course watch carefully assume past performance predicts future results here think multi-family lending portfolio quite low risk scheme things yeah terms office space know exposure quite small yes jamie also mentioned re-fi dynamics mentioned something office space processing one way other office exposure quite modest concentrated class buildings sort dense urban locations return office narrative one drivers â€“ generally favor high occupancy so again watching it obviously specific things pay attention to scheme things us big issue'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
8,1Q23,"Hey Jeremy, you mentioned a degree of reintermediation to the lending markets. You said capital markets activity has gone to bank lending, and I'm just wondering, as part of your $7 billion increased NII guide, are you assuming better loan spreads? And on the topic of loan pricing, why aren't your credit card yields going higher than where they are today? Thanks.",['hey jeremy mentioned degree reintermediation lending markets said capital markets activity gone bank lending im wondering part $7 billion increased nii guide assuming better loan spreads topic loan pricing credit card yields going higher today thanks'],Mike Mayo,"Analyst, Wells Fargo Securities LLC","Yeah, Mike. So I think, yeah, you're referring to my comments that I made in the Commercial Bank about the fact that the larger Corporate segment within the Commercial Bank that would generally have access to capital markets but also access to bank lending, at the margin is choosing to draw down revolvers right now rather than access the capital markets. That is not a particularly meaningful driver of the increase in NII guidance. There's a lot of odds and ends in there, but the major drivers are the ones that I called out. And to be honest, I haven't actually specifically checked what's happening with Card yields. I would imagine that they've gone up a little bit in line with rates, but I don't know. We should follow up here.",['yeah mike think yeah referring comments made commercial bank fact larger corporate segment within commercial bank would generally access capital markets also access bank lending margin choosing draw revolvers right rather access capital markets particularly meaningful driver increase nii guidance theres lot odds ends there major drivers ones called out honest actually specifically checked whats happening card yields would imagine theyve gone little bit line rates know follow here'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
9,1Q23,I do want to unpack the question here on the possibility of higher for longer rates and how that impacts you in your non-Markets NII...,['want unpack question possibility higher longer rates impacts non-markets nii'],Betsy L. Graseck,"Analyst, Morgan Stanley & Co. LLC","Sure. So, Betsy, your question is very good. And I would say that if you look at the evolution of our outlook last year, it was pretty clear that we were very asset-sensitive, certainly in terms of the sort of one year forward EaR type measure. You also obviously know that our current EaR actually shows a slight negative number, so a tiny bit liability sensitive, and I won't get into all the nuances about why that may or may not be a great predictor in the short-term. But the point is that the level of rates now is of course very different from what it was last year. And at this level of rates, the relationship between our short-term NII evolution and the curve is not always going to be clear in any given moment. It's quite tricky, and it can behave in somewhat wonky ways as a function of, again, what I've alluded to a couple times on this call â€“ the competitive environment for deposits, which is not, in fact, a sort of mathematically predictable thing as a function of the rate curve. So, that's why we're emphasizing all the different drivers of uncertainty in the NII outlook. Yeah.",['sure so betsy question good would say look evolution outlook last year pretty clear asset-sensitive certainly terms sort one year forward ear type measure also obviously know current ear actually shows slight negative number tiny bit liability sensitive get nuances may may great predictor short-term point level rates course different last year level rates relationship short-term nii evolution curve always going clear given moment quite tricky behave somewhat wonky ways function of again ive alluded couple times call â€“ competitive environment deposits not fact sort mathematically predictable thing function rate curve so thats were emphasizing different drivers uncertainty nii outlook yeah'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
10,1Q23,Have you seen big changes in how corporate treasurers or CFOs are adapting their cash balances and working capital â€“ and should they need to?,['seen big changes corporate treasurers cfos adapting cash balances working capital â€“ need to'],Glenn Schorr,"Analyst, Evercore ISI","Yeah, Glenn, in short, we really haven't seen big changes to speak of. And I do think it's just worth saying â€“ I think you're sort of hinting at this a little bit when you talk about the behavior of corporates â€“ that when we talk about responses to the recent events through the lens of uninsured deposits, that's obviously very different if you're talking about large balances of non-operating uninsured deposits from financial institutions or de facto financial institutions versus normal large corporate operating balances, which is, of course, like core banking business for all of us.",['yeah glenn short really seen big changes speak of think worth saying â€“ think sort hinting little bit talk behavior corporates â€“ talk responses recent events lens uninsured deposits thats obviously different talking large balances non-operating uninsured deposits financial institutions de facto financial institutions versus normal large corporate operating balances is course like core banking business us'],Jeremy Barnum,"Chief Financial Officer, JPMorgan Chase & Co."
