filename,chunk_index,chunk_text,financial_quarter,call_date,tokenized_data,cleaned_data
video_2024_Q1_1,1,"Good morning, everybody. And welcome to Banco Santander's conference call to discuss our financial results for the first quarter of 2024. Just as a reminder, both the results report and presentation we will be following today are available to you on our website. Let me just highlight that this is the first full quarter in which we are publishing results with our global businesses as primary reporting, aligned with the way we are managed as we announced late last year.",2024 Q1,Unknown,"['good', 'morning', 'everybody', 'welcome', 'banco', 'santander', 'conference', 'call', 'discuss', 'financial', 'results', 'first', 'quarter', '', 'reminder', 'results', 'report', 'presentation', 'following', 'today', 'available', 'website', 'let', 'highlight', 'first', 'full', 'quarter', 'publishing', 'results', 'global', 'businesses', 'primary', 'reporting', 'aligned', 'way', 'managed', 'announced', 'late', 'last', 'year']",['good morning everybody welcome banco santanders conference call discuss financial results first quarter 2024 reminder results report presentation following today available website let highlight first full quarter publishing results global businesses primary reporting aligned way managed announced late last year']
video_2024_Q1_1,2,"Secondary reporting will be what used to be primary until 2023, mainly country reporting, European DCB, etc. As we will explain later, changes versus previous periods are done on constant euros with the exception of Argentina which is presented in current euros to avoid distortions. All information will be as always available in the Excel sheet and reports that is published in our website.",2024 Q1,Unknown,"['secondary', 'reporting', 'used', 'primary', 'mainly', 'country', 'reporting', 'european', 'dcb', 'etc', 'explain', 'later', 'changes', 'versus', 'previous', 'periods', 'done', 'constant', 'euros', 'exception', 'argentina', 'presented', 'current', 'euros', 'avoid', 'distortions', 'information', 'always', 'available', 'excel', 'sheet', 'reports', 'published', 'website']",['secondary reporting used primary 2023 mainly country reporting european dcb etc explain later changes versus previous periods done constant euros exception argentina presented current euros avoid distortions information always available excel sheet reports published website']
video_2024_Q1_1,3,"But now to the presentation, I am joined here today by our CEO, Mr. Ektorgrisi and our CEO, Mr. José García Cantera. Following their presentations, we will be opening the floor for any and all questions you may have in the Q&A session. As a reminder, if you would like to ask a question, please press star five on your phone. And with this, I will hand over to Mr. Ektorgrisi. Hector, the floor is yours. Thank you, Begonia. Good morning, to everyone and thank you for joining us.",2024 Q1,Unknown,"['presentation', 'joined', 'today', 'ceo', 'mr', 'ektorgrisi', 'ceo', 'mr', 'jos', 'garca', 'cantera', 'following', 'presentations', 'opening', 'floor', 'questions', 'may', 'session', 'reminder', 'would', 'like', 'ask', 'question', 'please', 'press', 'star', 'five', 'phone', 'this', 'hand', 'mr', 'ektorgrisi', 'hector', 'floor', 'yours', 'thank', 'you', 'begonia', 'good', 'morning', 'everyone', 'thank', 'joining']",['presentation joined today ceo mr ektorgrisi ceo mr josé garcía cantera following presentations opening floor questions may q&a session reminder would like ask question please press star five phone this hand mr ektorgrisi hector floor yours thank you begonia good morning everyone thank joining us']
video_2024_Q1_1,4,"First, let me share with you what we will focus on today. First, I will talk about our Q1 results on the context of our strategy. Second, José will then review our financial performance in greater detail and then I will conclude with some final messages. Let's start with Q1. Q1 was another very strong quarter for Santander, positive contributions for all our businesses, demonstrating the strength of our strategy and our business model. We are presenting a profit of 2.9 billion.",2024 Q1,Unknown,"['first', 'let', 'share', 'focus', 'today', 'first', 'talk', 'results', 'context', 'strategy', 'second', 'jos', 'review', 'financial', 'performance', 'greater', 'detail', 'conclude', 'final', 'messages', 'let', 'start', 'another', 'strong', 'quarter', 'santander', 'positive', 'contributions', 'businesses', 'demonstrating', 'strength', 'strategy', 'business', 'model', 'presenting', 'profit', '', 'billion']",['first let share focus today first talk q1 results context strategy second josé review financial performance greater detail conclude final messages lets start q1 q1 another strong quarter santander positive contributions businesses demonstrating strength strategy business model presenting profit 29 billion']
video_2024_Q1_1,5,"That's an 11% increase versus Q1, 23. 9% in cost and euros, as Begonia said, excluding the impact of the temporary levy of revenue paid in Spain, recorded in full in Q1, if you include that, this was another record our customer focus and scale are driving profit-able growth. Over the last year, we welcomed 5 million new customers and our revenue in Q1 increased close to double-deed year-on-year in cost and euros and that supported by all global businesses and the regions.",2024 Q1,Unknown,"['that', 'increase', 'versus', 'cost', 'euros', 'begonia', 'said', 'excluding', 'impact', 'temporary', 'levy', 'revenue', 'paid', 'spain', 'recorded', 'full', 'include', 'that', 'another', 'record', 'customer', 'focus', 'scale', 'driving', 'profitable', 'growth', 'last', 'year', 'welcomed', 'million', 'new', 'customers', 'revenue', 'increased', 'close', 'doubledeed', 'yearonyear', 'cost', 'euros', 'supported', 'global', 'businesses', 'regions']",['thats 11% increase versus q1 23 9% cost euros begonia said excluding impact temporary levy revenue paid spain recorded full q1 include that another record customer focus scale driving profit-able growth last year welcomed 5 million new customers revenue q1 increased close double-deed year-on-year cost euros supported global businesses regions']
video_2024_Q1_1,6,"We are executing on an transformation plan which is already supporting efficiency improvements leading to growth in profitability and as a result, our efficiency ratio improved 1.4 percentage points year-on-year to 42.6% and net operating income has grown double-deed year-on-year for the last eight quarters. Our return on valuable equity rose 55 basis points year-on-year to 14.9%. Even more, 16.2% if we analyze the impact of the temporary levy in Spain.",2024 Q1,Unknown,"['executing', 'transformation', 'plan', 'already', 'supporting', 'efficiency', 'improvements', 'leading', 'growth', 'profitability', 'result', 'efficiency', 'ratio', 'improved', '', 'percentage', 'points', 'yearonyear', '', 'net', 'operating', 'income', 'grown', 'doubledeed', 'yearonyear', 'last', 'eight', 'quarters', 'return', 'valuable', 'equity', 'rose', 'basis', 'points', 'yearonyear', '', 'even', 'more', '', 'analyze', 'impact', 'temporary', 'levy', 'spain']",['executing transformation plan already supporting efficiency improvements leading growth profitability result efficiency ratio improved 14 percentage points year-on-year 426% net operating income grown double-deed year-on-year last eight quarters return valuable equity rose 55 basis points year-on-year 149% even more 162% analyze impact temporary levy spain']
video_2024_Q1_1,7,"Finally, our solid balance sheet, with some capital ratios and robust credit quality, it contributed to strong profit-able growth and more importantly to shareholder value creation. Tina Ploseviden per share grew by 14% year-on-year from a combination of higher profit, increased shareholder remuneration and fewer shares due to the buyback programs we have and we are still executing. In the last 12 months, we increased Tina by more than 4.5 billion.",2024 Q1,Unknown,"['finally', 'solid', 'balance', 'sheet', 'capital', 'ratios', 'robust', 'credit', 'quality', 'contributed', 'strong', 'profitable', 'growth', 'importantly', 'shareholder', 'value', 'creation', 'tina', 'ploseviden', 'per', 'share', 'grew', 'yearonyear', 'combination', 'higher', 'profit', 'increased', 'shareholder', 'remuneration', 'fewer', 'shares', 'due', 'buyback', 'programs', 'still', 'executing', 'last', 'months', 'increased', 'tina', '', 'billion']",['finally solid balance sheet capital ratios robust credit quality contributed strong profit-able growth importantly shareholder value creation tina ploseviden per share grew 14% year-on-year combination higher profit increased shareholder remuneration fewer shares due buyback programs still executing last 12 months increased tina 45 billion']
video_2024_Q1_1,8,"If we take a quick look at our income statement, as we usually do, we present growth boasting current euros and in cost and euros. Although, there were no material differences between them this quarter. Part of the reason is that for the first time, the operations in constant euros apply to all countries except to Argentina, which is incurring euros to mitigate distortions from the hyperinflation. Our P&L was strong from top to bottom.",2024 Q1,Unknown,"['take', 'quick', 'look', 'income', 'statement', 'usually', 'present', 'growth', 'boasting', 'current', 'euros', 'cost', 'euros', 'although', 'material', 'differences', 'quarter', 'part', 'reason', 'first', 'time', 'operations', 'constant', 'euros', 'apply', 'countries', 'except', 'argentina', 'incurring', 'euros', 'mitigate', 'distortions', 'hyperinflation', 'strong', 'top', 'bottom']",['take quick look income statement usually do present growth boasting current euros cost euros although material differences quarter part reason first time operations constant euros apply countries except argentina incurring euros mitigate distortions hyperinflation p&l strong top bottom']
video_2024_Q1_1,9,"Strong top and number one, strong top line performance driven both by NII, record fees, supported, as I said, by all the global businesses and regions. Second, revenue grew while cost-remined flat-tissued real-terms in language expectations and relatively stable over the last three quarters. Third, we demonstrated the sustainability of our results with 11% growth in net operating income. Fourth, and low-loss provisions continue to normalize as suspected.",2024 Q1,Unknown,"['strong', 'top', 'number', 'one', 'strong', 'top', 'line', 'performance', 'driven', 'nii', 'record', 'fees', 'supported', 'said', 'global', 'businesses', 'regions', 'second', 'revenue', 'grew', 'costremined', 'flattissued', 'realterms', 'language', 'expectations', 'relatively', 'stable', 'last', 'three', 'quarters', 'third', 'demonstrated', 'sustainability', 'results', 'growth', 'net', 'operating', 'income', 'fourth', 'lowloss', 'provisions', 'continue', 'normalize', 'suspected']",['strong top number one strong top line performance driven nii record fees supported said global businesses regions second revenue grew cost-remined flat-tissued real-terms language expectations relatively stable last three quarters third demonstrated sustainability results 11% growth net operating income fourth low-loss provisions continue normalize suspected']
video_2024_Q1_1,10,"Finally, as I mentioned earlier, during the first quarter, we recorded a $335 million charge related to the temporary 11-spane, which was 50% higher than in 2023. Excluding this impact, profit grows 14% year-on-year, in playing a growth of 12% in constant euros. Jose will go into more detail into this once later on. As you can see, this is a great start of the year. We are well-entracted to achieve our 2014 and 2014 targets, targets that we comfortably rate the rate.",2024 Q1,Unknown,"['finally', 'mentioned', 'earlier', 'first', 'quarter', 'recorded', 'million', 'charge', 'related', 'temporary', 'spane', 'higher', '', 'excluding', 'impact', 'profit', 'grows', 'yearonyear', 'playing', 'growth', 'constant', 'euros', 'jose', 'detail', 'later', 'see', 'great', 'start', 'year', 'wellentracted', 'achieve', 'targets', 'targets', 'comfortably', 'rate', 'rate']",['finally mentioned earlier first quarter recorded $335 million charge related temporary 11-spane 50% higher 2023 excluding impact profit grows 14% year-on-year playing growth 12% constant euros jose go detail later on see great start year well-entracted achieve 2014 2014 targets targets comfortably rate rate']
