filename,Quarter,Question,Question_cleaned,Analyst_Bank,Response,Response_cleaned,Executive
1q23-earnings-call-remarks.pdf,1Q23,"Chis Hallam, Goldman Sachs Yes. Good morning, everybody. Firstly, on the future capital requirements, at the time of the announcement, FINMA said that a larger bank would require higher capital buffers. Have you had any further clarity on the size of that increase in capital requirement, and particularly to what extent those higher capital requirements may be influenced by the ultimate perimeter of the group? And I suppose any thoughts you have around how those decisions will ultimately feed into the timing of future capital return decisions? That's the first question. And then secondly, in the report this morning, you've outlined that the Emergency Ordinance provides for the loss sharing agreement with the Swiss Confederation, but that the Emergency Ordinance will expire within six months of its issuance date, after which time those measures would need to be codified into law by the Swiss parliament. Does that mean that the loss sharing guarantees still are effectively subject to parliamentary approval in six months' time? And if so, what are your confidence levels in getting those approvals?Very clear. Thanks.",['okay thank you capital requirements know situation clearer determine scope perimeter activities run particularly respect non-core activities also businesses exit will course impact op-risk capital charges on so think one issues sarah referred to clarity aspects communicate expect something substantial take away merits value accretion creation transaction respect guarantee little doubt agreed government enforceable course process place define exactly details guarantee expect done next couple months concerned enforceability guarantee part integral part agreements weekend step-in situation'],Goldman,"Okay. Thank you. On capital requirements, you know, the situation will be clearer once we determine the scope and perimeter of the activities we will run, particularly in respect of non-core activities, and also with the businesses that we will exit. This will, of course, have an impact on op-risk, capital charges and so on. So, I think this is one of the issues that Sarah referred to. When we will have more clarity on all those aspects, we will communicate. But I don't expect this to be something substantial, that will take away the merits and the value accretion and creation of this transaction. In respect of the guarantee, we have little doubt that what we have agreed with the government is enforceable. Of course, there is a process in place to define exactly the details of this guarantee, and we do expect that to be done in the next couple of months. But we are not concerned about the enforceability of the guarantee as part, as an integral part of our agreements over the weekend to step-in in this situation.",['chis hallam goldman sachs yes good morning everybody firstly future capital requirements time announcement finma said larger bank would require higher capital buffers clarity size increase capital requirement particularly extent higher capital requirements may influenced ultimate perimeter group suppose thoughts around decisions ultimately feed timing future capital return decisions thats first question secondly report morning outlined emergency ordinance provides loss sharing agreement swiss confederation emergency ordinance expire within six months issuance date time measures would need codified law swiss parliament mean loss sharing guarantees still effectively subject parliamentary approval six months time so confidence levels getting approvalsvery clear thanks'],['Sergio P. Ermotti']
1q23-earnings-call-remarks.pdf,1Q23,"Yeah. Thanks. Just two questions. The first one is related to the book value per share guidance that you gave of the 74% increase on day one. Just wondering if that still holds, first of all, at this point, or has that changed post your further analysis. And in that context, should we assume that the purchase accounting, restructuring, asset marks, etcetera, should be captured by the reserves that is being built off what we estimate 21 billion. The second question is in relation to more top down. How we should think about the impact on clients at this point and also retention of clients, especially in wealth management at this point already. And how we should think about retention of clients post the event, the clients that have left. How should we think about your position after that?Sorry if I may. The 74% also includes - but does clearly not include additional charges to the P&L and the rest comes to the P&L, we should assume.Ok.",['so sarah take first question take secondso give 74% focused intentionally viewed economic impact ie impacts cet1 continue way actually numbers stable course continuing work ppa going continue so ppa was course included estimates given youthats right initial ppa comes cet1 tangible book value per share anything beyond comes p&lso client retention – maybe let reiterate look inflows general issue current clients believe many areas underweight share wallet basis able convince clients combined organization offering better value areas course lose clients concentration going high last least believe history really always repeat itself also convinced many clients maybe nervous concerned happened credit suisse last months also post transaction regain faith know able get assets back so totally convinced that know growth ability retain regain clients able articulate value proposition combined organizations bring fruits'],JPMorgan,"So, Sarah, take the first question. I'll take the second.So, when we give you the 74%, we focused intentionally on what we viewed as economic impact, i.e. what impacts CET1 and if you continue to do it that way, actually the numbers are very stable. Of course, we are continuing to do the work on the PPA and we're going to continue to do so. And the PPA was, of course, included in the estimates that we had given you.That's right. The initial PPA comes into the CET1 or the tangible book value per share, and anything that is beyond that comes through the P&L.So on client retention, I – maybe let me reiterate that if you look at our inflows and in general, we don't have an issue with our current clients. And we do believe that in many areas where we were underweight on a share of wallet basis we will be able to convince clients that the combined organization is offering a better value. In some areas, of course, we will lose clients because their concentration is going to be too high. And last but not least, I do believe that while history doesn't really always repeat itself, we are also convinced that many of the clients that were maybe nervous or concerned about what happened at Credit Suisse in the last few months but also post the transaction will regain faith and you know, we will be able to get some of these assets back. So, I'm totally convinced that, you know, our growth and our ability not only to retain but to regain clients will be there once we are able to articulate the value proposition that the combined organizations can bring to fruits.",['yeah thanks two questions first one related book value per share guidance gave 74% increase day one wondering still holds first all point changed post analysis context assume purchase accounting restructuring asset marks etcetera captured reserves built estimate 21 billion second question relation top down think impact clients point also retention clients especially wealth management point already think retention clients post event clients left think position thatsorry may 74% also includes - clearly include additional charges p&l rest comes p&l assumeok'],"['Sergio P. Ermotti', 'Sarah Youngwood']"
1q23-earnings-call-remarks.pdf,1Q23,"Yeah. Thank you. Good morning. Welcome back, Sergio. On the comments you made on the Bloomberg TV interview earlier about the importance of centrality, essentiality of ongoing profitability, which was absolutely borne out in recent months. Clearly the combined group has an exceptionally strong capital position on a pro forma basis, which gives you the opportunity to move quite quickly in two ways, one in a sort of actual effect in the merger and taking financial reserves against that. So, should we think about going quickly as essential to your plans because you’ve got the financial conditions to do it? Clearly, that was something that Credit Suisse did not enjoy. They had some ambitions to restructure that they needed to pass through the P&L over time, which constrain their profitability a long way into the future. Thank you.Thank you.",['thank you ryan good back interact well look yes know need go ppa assessment marks position find assume philosophy running non-core assets saw past based cost capital so able dispose restructure transaction create loss lower cost capital without doubts fears taking upfront losses so precisely so mentioned profitability strength underlying business combined allows us flexibility control destiny think important treat positions distressed assets rather non-core assets and therefore economic consideration put place so every time transaction view reduces risk also frees capital cost equity that and guess something takes time us go deeper analysis is something i’ like clarify quickly possible is so assume one top priorities clarify path – us take [assets] free capital going forward also reduce risks'],Bank of America,"Thank you, Ryan. It is good to be back to interact with you as well. Look, yes, you know what we need to do now as we go through the PPA assessment and the marks of the position we find. You can assume that the philosophy of running down non-core assets will be the same you saw in the past based on cost of capital. So, if we are able to dispose, to restructure, any transaction that create a loss that is lower than the cost of our capital, we will do so without any doubts, any fears of taking upfront losses. So, it's precisely so, as you mentioned, that the profitability and the strength we have in our underlying business combined allows us this flexibility to control our destiny. I think, it's very important not to treat those positions as distressed assets, but rather non-core assets. And, therefore, an economic consideration has to be put in place. So, every time we can do a transaction that in our view reduces risk but also frees up capital below our cost of equity, we will do that. And, I guess, this is something that now it takes time for us to go deeper into the analysis of what it is. But this is something I’ like to clarify as quickly as possible what it is. So, you can assume that one of our top priorities, to clarify a path of – for us to take down these [assets], to free up this capital going forward and also reduce risks.",['yeah thank you good morning welcome back sergio comments made bloomberg tv interview earlier importance centrality essentiality ongoing profitability absolutely borne recent months clearly combined group exceptionally strong capital position pro forma basis gives opportunity move quite quickly two ways one sort actual effect merger taking financial reserves that so think going quickly essential plans you’ve got financial conditions it clearly something credit suisse enjoy ambitions restructure needed pass p&l time constrain profitability long way future thank youthank you'],['Sergio P. Ermotti']
1q23-earnings-call-remarks.pdf,1Q23,"Yes. Good morning. The first question I wanted to ask you is regarding the net new money, so the net new FGA. You gave us some details you know including post the 10 business days that followed the announcement of the deal and thank you for that. I don't think I've seen any comment around the trend in April. So, just wanted to ask you know, what trend you've seen in terms of the customer behavior and especially regarding the NNFGA as well as customer deposits since the quarter ended about three weeks ago. And then I just wanted to come back to the risk around – the you know concentration risk around clients and the overlap on the client base. You made interesting comments regarding the fact that you are underweight certain client segment versus CS, and where you can gain from that transaction. There is another client segment which could lose. Can you maybe provide us more details? Do you mean in wealth management specifically, also in P&C? Can you maybe comment on those client segments? Thank you.Thank you.",['so first question terms trends april really seen anything particularly abnormal special so custom guide stay thatyeah client side mean look at example asia think it’s clear ubs perhaps stronger franchise north asia credit suisse stronger franchise relatively speaking southeast asia so think combination two complementary latin america mean latin america definitely situation credit suisse brings significant value platform there make us leader non-latin american players close that so significant step forward respect switzerland would say usually smes relationship maybe one large banks cantonal bank regional bank so it’s – high likelihood smes don’t really equal relationship two large banks reason believe many captured issue retail personal clients banking people two relationships usually local bank large bank so also there last least would say it’s fair say credit suisse strong franchise large corporates switzerland also complementary own so all say terms current business mix also going back remarks switzerland 250 banks it’s plenty competition plenty cantonal banks plenty raiffeisen banks and therefore believe able manage competitive landscape easy us service quality differently others rather purely size'],Jefferies,"So, on the first question in terms of the trends of April, we really haven't seen anything that is particularly abnormal or special. And so, it is not our custom to guide and we will stay with that.Yeah. On the client side. I mean, if you look at, for example, in Asia, I think it’s clear that UBS has that perhaps a stronger franchise in North Asia and Credit Suisse has a stronger franchise, relatively speaking, in Southeast Asia. So, I think that the combination of the two is very complementary. Latin America, I mean, in Latin America, we definitely have a situation in which Credit Suisse brings a significant value to our platform. And there, that will make us, if not the leader of non-Latin American players, very close to that. So, a significant step forward. In respect of Switzerland, I would say that usually, SMEs have a relationship with maybe one of the large banks and with a cantonal bank or a regional bank. So, it’s – there is a high likelihood that the same SMEs don’t really have equal a relationship with the two large banks. For that reason, we believe that many of them can be captured. Same issue for retail and personal clients banking. If people have two relationships, usually they have it with a local bank and with a large bank. So, also there. And last but not least, I would say, that it’s fair to say that Credit Suisse has a strong franchise in large corporates in Switzerland, which is also complementary to our own. So, after all, as I say, both in terms of current business mix, but also going back to my remarks. In Switzerland, there are 250 banks. It’s plenty of competition, plenty of cantonal banks, plenty of Raiffeisen Banks. And, therefore, we believe that we will be able to manage this competitive landscape, which is not easy for us through service quality and what we can do differently than others rather than just purely size.",['yes good morning first question wanted ask regarding net new money net new fga gave us details know including post 10 business days followed announcement deal thank that think seen comment around trend april so wanted ask know trend seen terms customer behavior especially regarding nnfga well customer deposits since quarter ended three weeks ago wanted come back risk around – know concentration risk around clients overlap client base made interesting comments regarding fact underweight certain client segment versus cs gain transaction another client segment could lose maybe provide us details mean wealth management specifically also p&c maybe comment client segments thank youthank you'],"['Sergio P. Ermotti', 'Sarah Youngwood']"
1q23-earnings-call-remarks.pdf,1Q23,"Good morning. Two questions. Firstly, just on slide 10 in your revised net interest income outlook, Q1, you’ve seen a slight increase in NII. So then you are guiding to a mid-single digit decrease for Q2. So that implies Q2 will be slightly below the Q4 run rate. Implicitly, this seems to suggest that Q3, Q4 is roughly then going to be stable based on your full year guidance. So, I’m interested in your thoughts on the offset between rate hikes and then most important of all, deposit migration to money market funds in future quarters. Given that we’re closing in on peak rates, it seems to imply you’re achieving, the deposit migration also slows, but would welcome any commentary on that. And then my second question is actually on the liquidity coverage ratio. I think there’s an active debate as to whether it’s calibrated correctly in light of recent events, particularly the 10% weighting that’s applied to less stable retail deposits. So, interested in any conversations you’ve had on that either with FINMA or the Basel Committee. And likewise, does that mean you’re going to continue to run with an LCR of, you know, north of 160%, given the potential that that ratio might be recalibrated? Thank you.Thank you.",['so first quarter first question seen significant mix shift throughout system $600 billion fed data showed whole system 3% sequential decrease still saw expected dramatic going forward certainly planned annualization numbers that see normal patterns happened continue see mix shifts would expect potentially level seen beginning year also important know us really beginning year pattern so actually january february saw lot mix shift actually net inflows platforms deposits march terms second quarter guidance you’ve noted we’re going exactly correct p&c slightly gwm mix shifts happening bit down pointed mathematically mean level stability course year thereafter terms lcr believe calibrated correctly seeing also us changes deposits actually done much terms change lcr much know type deposits going sticky versus sticky so calculate such course seen us consistently high levels intention drop sharply regardless dialogue could happen around lcr calculations'],Citi,"So, on the first quarter or the first question, what you've seen is some very significant mix shift throughout the system, the $600 billion of Fed data showed that the whole system had a 3% sequential decrease that we still saw. That is not expected to be that dramatic going forward, but we certainly have planned for the annualization of that in our numbers. And then after that, you see some normal patterns that happened, but we continue to see some mix shifts, as you would expect, but potentially not at the level that was seen at the beginning of the year. It's also important to know that for us, it was really the beginning of the year that was that pattern. So, actually January and February where we saw a lot of mix shift and actually some of the net inflows into the platforms from deposits were in March. In terms of the second quarter guidance, you’ve noted that we’re going to be down and that is exactly correct with P&C being slightly up and GWM, which is where those mix shifts are happening, being a bit down. And then as you pointed out mathematically, that does mean that there is some level of stability over the course of the year thereafter. In terms of LCR, we believe that we are calibrated correctly because what you are seeing also is that for us, the changes in deposits have actually not done very much in terms of the change of LCR because we very much know what type of deposits are going to be sticky versus not sticky. And so, we calculate as such. And of course, you've seen us very consistently being at those high levels and we don't have an intention to drop sharply regardless of the dialogue that could happen around the LCR calculations.",['good morning two questions firstly slide 10 revised net interest income outlook q1 you’ve seen slight increase nii guiding mid-single digit decrease q2 implies q2 slightly q4 run rate implicitly seems suggest q3 q4 roughly going stable based full year guidance so i’m interested thoughts offset rate hikes important all deposit migration money market funds future quarters given we’re closing peak rates seems imply you’re achieving deposit migration also slows would welcome commentary that second question actually liquidity coverage ratio think there’s active debate whether it’s calibrated correctly light recent events particularly 10% weighting that’s applied less stable retail deposits so interested conversations you’ve either finma basel committee likewise mean you’re going continue run lcr of know north 160% given potential ratio might recalibrated thank youthank you'],['Sarah Youngwood']
1q23-earnings-call-remarks.pdf,1Q23,"Morning. I've got two. One is a bit of a follow up on LCR and on your long-term funding strategy. Clearly, LCR standalone is pretty strong. If you look at the business you're acquiring, then it's really propped up by a big SNB liquidity line and that deposits are very, very low. Loans to deposit is 157%. So, I was just wondering how you're thinking about your long-term funding strategy through the acquisition and how you might deal with kind of the flight of deposits that they have seen and how you can integrate that into your liquidity model going forward. And then second on a slightly different topic. In GWM, you've got flat costs on lower revenues, and a favorable revenue mix with NII up and fees down. Normally, that is a good mix for your cost base. Could you just discuss a little bit more what's going on in there, what sort of inflation you're seeing, whether there is an increased competition for relationship managers, and whether that's changing given the new environment? Thank you.Okay. So the inflationary pressure, that sounds quite high to be managed down.Thank you.",['lcr generally funding plan integrate cs today user snb facilities intention certainly manage quickly possible recognizing gap pointing out indicate soon ready terms gwm story seeing is noted strong nii performance asset based combination markets levels well little bit margin compression happened year mix topic discussed terms transaction activity yet elevated based level uncertainty clients dealing with seen though expense side good rigor expense ex-fx litigation flat offsetting inflationary pressures good rigor seeing continuing offense terms fa recruitment organic growththats right managed offset done actions mentioned total helping us forward quarter current quarter also affecting quarter still included cost flat so really good performance'],Mediobanca,"So on the LCR and more generally the funding plan, as we integrate CS today they are user of the SNB facilities. It will be our intention certainly to manage that down as quickly as possible, but recognizing the gap that you're pointing out. And we will indicate that as soon as ready. In terms of the GWM story, what you're seeing is, as noted, a very strong NII performance. In asset based, it is the combination of the markets levels as well as a little bit of the margin compression that has happened over the year, which is just a mix topic that we have discussed. And then in terms of the transaction activity, not yet very elevated, just based on the level of uncertainty that our clients are dealing with. And then what you have seen, though, is on the expense side that we have good rigor where the expense ex-FX and litigation is flat. And so you are offsetting those inflationary pressures by the good rigor that we are seeing and this is while continuing to be on the offense in terms of our FA recruitment and organic growth.That's right it's being managed by the offset. And we've done some actions which I've mentioned which in total are helping us more on the forward quarter than in the current quarter and also affecting the quarter and are still included in our cost being flat. So, really a good performance.",['morning got two one bit follow lcr long-term funding strategy clearly lcr standalone pretty strong look business acquiring really propped big snb liquidity line deposits very low loans deposit 157% so wondering thinking long-term funding strategy acquisition might deal kind flight deposits seen integrate liquidity model going forward second slightly different topic gwm got flat costs lower revenues favorable revenue mix nii fees down normally good mix cost base could discuss little bit whats going there sort inflation seeing whether increased competition relationship managers whether thats changing given new environment thank youokay inflationary pressure sounds quite high managed downthank you'],['Sarah Youngwood']
1q23-earnings-call-remarks.pdf,1Q23,"Morning. Thank you and welcome back to Sergio from me as well. I just want to pick up on a couple of topics that you've touched on already. Firstly, you talked about the Swiss banks combined market share. I wanted to clarify, is your plan to fully integrate the two networks under a single brand, single product range, single network, back office, head office? And then secondly, you also touched on the risk shelter. If I read the documents, it seems narrowly defined so that it won't cover things like litigation, restructuring, or indeed the operating costs of noncore, only asset disposal losses. So, it seems relatively unlikely to be drawn. So, I just wanted to ask, is it your base case that you will draw on that risk shelter or that you also agree it's unlikely that you will draw on that risk shelter.Great, thank you very much.",['thank you jeremy look know base plan announced day one announced transaction was course full integration reiterated afterwards said also evaluating best option combined businesses going forward personally believe also – real issue terms oversized presence switzerland market share topics mean reason mentioned before may balance best things shareholder standpoint view aspects take serious consideration best interest clients best interest employees overall society said that need also make decisions based facts emotions right now discussion totally based emotions many cases totally uninformed need understand better issues come conclusion important jump conclusion whatever sustainable viable therefore takes little bit time take forever know employees clients and general well want want quickly possible clarity do patient next months create clarity matter terms risks course right mean first all realize losses coming outside non-core units part – absorbed ubs so item subject guarantee non-core unit first 5 billion losses coming unit ubs so almost default interest prudent way mark position sustainable way look disposed positions time also ones know want preserve value shareholders so avoid – try avoid cost tap guarantees stage premature discuss it it also matter needs closed quickly possible terms creating clarity so next couple months also important us fully understand exposures convinced done timeframe outlined'],Exane,"Thank you, Jeremy. Look, you know, the base plan that we announced on day one when we announced the transaction was, of course, the full integration. But we reiterated afterwards, and I said it also before that we are now evaluating what is the best option for the combined businesses going forward. I personally and we believe also that there is no – there is no real issue in terms of oversized presence in Switzerland or market share topics. I mean, for the reason I mentioned before, we may have to balance what is the best things to do from a shareholder standpoint of view with other aspects. We will take, in serious consideration, what is the best interest of clients? What is the best interest of employees and overall for society? Having said that, what we need to do is also to make those decisions based on facts and not emotions. Right now, the discussion is totally based on emotions. In many cases, totally uninformed. And we need ourselves to understand better those issues before we come to a conclusion. And it's very important not to jump into any conclusion. Whatever we do has to be sustainable and viable. And therefore, it takes a little bit of time, but it won't take forever. We know that both employees, clients and, in general, you as well, you want to have and we want to have as quickly as possible clarity on what to do. So be patient and in the next few months we will create more clarity on the matter. In terms of risks, of course, you're right. I mean, first of all, we have to realize that any losses that are coming outside the non-core units are part – will be absorbed by UBS. So, the only item that is subject to the guarantee is the non-core unit and the first 5 billion of losses coming from that unit is on UBS. So, we have almost by default an interest to be prudent in the way we mark this position, and sustainable in the way we look at how we disposed those positions. But at the same time, we are also the ones, you know, that want to preserve value for our shareholders. So, we will avoid – we will try to avoid at any cost having to tap into the guarantees. But at this stage, it's premature to discuss if we have to do it, when we have to do it. This is also a matter that needs to be closed as quickly as possible in terms of creating clarity. So, the next couple of months there will also be very important for us to fully understand the exposures and I'm convinced that this can be done in the timeframe that I just outlined.",['morning thank welcome back sergio well want pick couple topics touched already firstly talked swiss banks combined market share wanted clarify plan fully integrate two networks single brand single product range single network back office head office secondly also touched risk shelter read documents seems narrowly defined cover things like litigation restructuring indeed operating costs noncore asset disposal losses so seems relatively unlikely drawn so wanted ask base case draw risk shelter also agree unlikely draw risk sheltergreat thank much'],['Sergio P. Ermotti']
1q23-earnings-call-remarks.pdf,1Q23,"Yeah. Thank you very much for taking my question. The first is just about the mechanics as you pay with the treasury shares if there's a difference versus, yeah, new share issuance just, yeah, conceptually and in terms of the impact. And then secondly, just a different question on your commercial real estate exposure. Can you give us a bit more detail on the regional mix, potentially maturity profile, LTV and so on? Thank you very much.Okay. Thank you. Amit Goel, Barclays Hi. Thank you and welcome back, Sergio, too from me. So, two questions. The first, again, just on the transaction and the announcement on – on day one, I just wanted to check in terms of the cost savings and the timeline for EPS accretion whether or not your conviction levels have changed based on the information that you have had or seen since then. And then secondly, I was a bit surprised by the amount of, I guess, deposit outflow on a reported basis for GWM in the quarter. Do you mind just going through that just going through that in a bit more detail? You know, because obviously that's net of the inflows that we're seeing towards the end of the quarter. So, I appreciate there was a bit of a shift in mix and so forth. But if you could give a bit more color, that would be helpful. Thank you.",['treasury share happened actually repurchased shares available could cancelled using purpose acquisition so issuing new shares terms commercial real estate conservative portfolio – exposure switzerland particular – according see us high collateralization would expect give levels reserves certainly reflect high quality portfoliosure so terms cost savings eps assumptions gave stand important eps accretion remember gave reported numbers so excluding non-core excluding restructuring charge given dealing non- core assets could timeline could comes time gave 2027 certainly core eps question models faster that terms deposit outflows gwm really much client repositioning seeing beginning year so people came even advisors actually really looked portfolios especially us seen phenomenon mentioned deposit sequential decrease exactly one fed data result people really looking difference particular tax basis treasury bonds money markets versus savings products so products attractive nevertheless treasury bonds money markets end attractive therefore mix shifts very logical type clientele absolutely right advice clients really majority driver offset inflows gotten since port storm period march things became bit difficult others'],RBC,"So on the treasury share, what happened is we actually repurchased some of the shares and they are available. They could have been cancelled and what we're doing is we are using them for the purpose of this acquisition. So, we are not issuing any new shares. And so in terms of commercial real estate, we have a very conservative portfolio that is – that has exposure to Switzerland in particular. But – and all of that is according to what you see from us, it was the high collateralization that you would expect. And when we give you all of our levels of reserves, we certainly reflect on the very high quality of those portfolio.Sure. So, in terms of the cost savings and EPS, the assumptions that we gave you stand. And what is important is for the EPS accretion to remember that we gave you what were the reported numbers. So, we are not excluding non-core, we're not excluding restructuring charge. And given that we're dealing with non- core assets that could have a timeline, it could be that some of that comes over time, which is why we gave ourselves until 2027. Certainly the core EPS question in our models was faster than that. And then in terms of the deposit outflows for GWM, it is really very much the client repositioning that you are seeing at the beginning of the year. And so, people came in and even with our advisors actually really looked at their portfolios and especially in the U.S. and you've seen that phenomenon, as I mentioned, our deposit sequential decrease is exactly the same one as the Fed data. And as a result of people really looking at the difference in particular between what you can have on an after tax basis, between the Treasury bonds or money markets versus any savings products. So, our products are very attractive, but nevertheless, the Treasury bonds and money markets end up being more attractive. And therefore there have been mix shifts that are very, very logical for that type of clientele. And it is absolutely the right advice for clients that is really the majority of the driver and then it's offset by the inflows that we have gotten since we were a port in the storm during the period of March after things became a bit more difficult for others.",['yeah thank much taking question first mechanics pay treasury shares theres difference versus yeah new share issuance just yeah conceptually terms impact secondly different question commercial real estate exposure give us bit detail regional mix potentially maturity profile ltv on thank muchokay thank you amit goel barclays hi thank welcome back sergio me so two questions first again transaction announcement – day one wanted check terms cost savings timeline eps accretion whether conviction levels changed based information seen since then secondly bit surprised amount of guess deposit outflow reported basis gwm quarter mind going going bit detail know obviously thats net inflows seeing towards end quarter so appreciate bit shift mix forth could give bit color would helpful thank you'],['Sarah Youngwood']
1q23-earnings-call-remarks.pdf,1Q23,"Okay. Thanks. And just on the cost savings, is that kind of, I guess, conditional on what the outcome is for the Swiss business? And is the conviction still there on the greater than 8 billion?Okay. Thank you. Benjamin Goy; Deutsche Bank Yes. Hi. Good morning. Two questions, please. The first is you reiterated the 25% of the new group going forward with the investment bank, but if I combined UBS and Credit Suisse as of Q1, I am already at that number before fully transferring the current products and so on? So, does it mean you're already happy with the perimeter of the group and potentially happy to diversify your fixed income business via their credit sales and trading? Or is this number ultimately going lower towards maybe 20% or whatever the number is? And then, secondly, wondering about global wealth management. Do you re-underwrite the Credit Suisse client from a risk perspective? i.e. is there a new onboarding process or do they just join as of…the deal completing? Thank you.",['so 8 billion-dollars-plus done based base case and course anything beyond would done context sergio said value creationwell 25% mean depends make calculation know directionally saying 25% normalized basis maximum onwards look fits risk profile many many areas credit suisse bring new capabilities good enhancing franchise investment bank concerned activities know also kind correlation risk-weighted assets function market movements volatility cant really right point normalized number happy saying 25% maximum matter what thats good starting point think look combined organization reduce weighting of… going forward importantly diversified business also one items need little bit digging business going stay us going part offering onboarding done pragmatic way unless red flags onboard clients want make journey experience clients smooth possible course operating model principle one ubs then board clients look suitability making sure fit standards expect major differences there may different views certain client segments people benjamin goy; deutsche bank understood thank you'],Barclays,"So, the 8 billion-dollars-plus was done based on the base case and, of course, anything beyond that would be done in the context of what Sergio said and value creation.Well, on the 25%, I mean, it depends how you make the calculation. But you know directionally, what we are saying is that the 25% on a normalized basis will be the maximum. And from there onwards, we will look into what fits into our risk profile. There are many, many areas where Credit Suisse will bring new capabilities that are good and enhancing our franchise in the investment bank. So we are not concerned about those activities. And as you know, there is also some kind of correlation with risk-weighted assets being a function of market movements and volatility. So we can't really right now point out a normalized number that we are happy with other than saying 25% will be the maximum and no matter what. So that's a good starting point. I think that if you look at the combined organization, we will reduce the weighting of…, going forward. And most importantly, we have a more diversified business. So this is also one of these items where we need a little bit of more digging into the business and what is going to stay with us and what is not going to be part of our offering. The onboarding will be done in a pragmatic way. Unless we have red flags, we will onboard clients. And we want to make the journey and the experience of clients as smooth as possible. But of course, the operating model in principle is the one of UBS. So then, as we then on board clients, we will then look at the suitability and making sure that they fit into our standards. I don't expect major differences, but here and there, we may have different views on certain client segments or people. Benjamin Goy; Deutsche Bank Understood. Thank you.",['okay thanks cost savings kind of guess conditional outcome swiss business conviction still greater 8 billionokay thank you benjamin goy; deutsche bank yes hi good morning two questions please first reiterated 25% new group going forward investment bank combined ubs credit suisse q1 already number fully transferring current products on so mean already happy perimeter group potentially happy diversify fixed income business via credit sales trading number ultimately going lower towards maybe 20% whatever number is then secondly wondering global wealth management re-underwrite credit suisse client risk perspective ie new onboarding process join of…the deal completing thank you'],"['Sergio Ermotti', 'Sarah Youngwood']"
1q23-earnings-call-remarks.pdf,1Q23,"Good morning, everyone. So, just a couple for me. So, I mean first of all, how concerned are you around the revenue attrition already taking place at Credit Suisse? You know I guess where I'm coming from is based on the current revenue trajectory, the 8 billion of cost reductions might not actually be enough. So, could we be in a situation where a deeper restructuring is required. And then maybe secondly, around buybacks. I mean, part of the issue there is people are trying to time it and obviously, work out the capital and so forth. I suppose that you got one side, you got the government guarantees and then on the other, you've got a very politically sensitive situation. And I suppose regardless of your capital position, is it fair to assume that buybacks are very much kind of at the back of mind for now and we're talking 18 plus months away before you can even consider that between the link between obviously your strong capital position – expected capital position and the government guarantees. Thanks. Great. Thanks, Sergio.",['thank you tom now look course revenue attrition function happened last couple months also look – profitability highly impacted cost funding experienced last months think things together normalized also create tailwinds respect lower cost funding ability re-attract clients convinced lot clients see value added combined businesses flows revert so course time complacent so see enough need take actions and course want to least bring back profitability ambitions ubs standalone one combined entities so cost – focus efficiency costs capital returns value creation part equation necessary steps that look terms buyback way premature talk it know assuming takes 18 months clarity guess – know fully understand point believe me know yet ourselves – give clarity soon clarity matter need sensitive many aspects also convinced take quarters years create clarity so trajectory freeing resources creating clarity around guarantees creating clarity around business model capacity combine know dividend policy sees constant improvement cash pay combined share buyback important element equity story focused communication'],KBW,"Thank you, Tom. Now, look, of course, the revenue attrition is a function of what happened in the last couple of months. And also, if you look at the – the profitability is highly impacted by the cost of funding they had experienced in the last few months. I think that once things are together and normalized, we will also create some tailwinds in respect of lower cost of funding and an ability to re-attract clients. I'm convinced that a lot of the clients will see the value added of the combined businesses and some of those flows will revert. So, of course, we are at the same time, not complacent. So, if we see that this is not enough, we will need to take actions. And, of course, we want to, at the very least, bring back the profitability ambitions that we had as a UBS standalone with one of the combined entities. So, cost – focus on efficiency on costs and capital returns and value creation is part of the equation, and we will do the necessary steps to do that. Look, in terms of buyback, it's way too premature to talk about it. You know, assuming that it takes 18 months for clarity, it's a guess that I – you know, I fully understand your point, but believe me, we don't know yet ourselves. So – but we will give you clarity as soon as we have clarity on this matter. We need to be sensitive to many aspects. But I'm also convinced that it won't take quarters or years to create that clarity. So, the trajectory of freeing up resources, of creating clarity around the guarantees, creating clarity around the business model and our capacity to combine, you know, a dividend policy that sees a constant improvement in the cash we pay out combined with share buyback is an important element of our equity story, and we will be very focused on that in our communication.",['good morning everyone so couple me so mean first all concerned around revenue attrition already taking place credit suisse know guess coming based current revenue trajectory 8 billion cost reductions might actually enough so could situation deeper restructuring required maybe secondly around buybacks mean part issue people trying time obviously work capital forth suppose got one side got government guarantees other got politically sensitive situation suppose regardless capital position fair assume buybacks much kind back mind talking 18 plus months away even consider link obviously strong capital position – expected capital position government guarantees thanks great thanks sergio'],['Sergio P. Ermotti']
