filename,chunk_index,chunk_text,financial_quarter,call_date
4q24-earnings-transcript.pdf,1,"Operator: Good morning, ladies and gentlemen. Welcome to JPMorganChase's Fourth Quarter 2024 Earnings Call. This call is being recorded. Your line will be muted for the duration of the call. We will now go live to the presentation. The presentation is available on JPMorganChase's
website. Please refer to the disclaimer in the back concerning forward-looking statements. Please stand by.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,2,"At this time, I would like to turn the call over to JPMorganChase's Chairman and CEO, Jamie Dimon, and Chief Financial Officer, Jeremy Barnum. Mr. Barnum, please go ahead. Jeremy Barnum
Chief Financial Officer, JPMorganChase
Thank you, and good morning, everyone. the Firm reported net income of $14 billion, EPS of $4.81 on revenue of $43.7
billion, with an ROTCE of 21%. we have more on our fourth-quarter results. The Firm reported revenue of $43.7 billion, up $3.8 billion
or 10% year-on-year.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,3,"NII ex. Markets was down $548 million or 2%, driven by the impact of lower rates and the associated deposit margin
compression, as well as lower deposit balances in CCB, largely offset by the impact of securities reinvestment, higher revolving balances in
Card and higher wholesale deposit balances. NIR ex. Markets was up $3.1 billion or 30%. Excluding the prior year's net investment securities
losses, it was up 21%, largely on higher asset management fees and investment banking fees.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,4,"And Markets revenue was up $1.2 billion or 21%. Expenses of $22.8 billion were down $1.7 billion or 7% year-on-year. Excluding the prior year's FDIC special assessment, expenses were up $1.2
billion or 5%, predominantly driven by compensation as well as higher brokerage and distribution fees. And credit costs were $2.6 billion,
reflecting net charge-offs of $2.4 billion and a net reserve of $267 million. you can see the reported results for the full year.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,5,"I'll
remind you that there were a number of significant items in 2024. Excluding those items, the Firm reported net income of $54 billion, EPS of
$18.22, revenue of $173 billion, and we delivered an ROTCE of 20%. Touching on a couple of highlights for the year. In CCB, we had a record
number of first-time investors and acquired nearly 10 million new card accounts. In CIB, we had record revenue in Markets, Payments and
Securities Services.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,6,"And in AWM, we had record long-term net inflows of $234 billion, positive across all channels, regions and asset classes. On to balance sheet and capital on page 4. We ended the quarter with a CET1 ratio of 15.7%, up 40 basis points versus the prior quarter, as net
income and lower RWA were largely offset by both OCI losses and capital distributions, which included $4 billion of net common share
repurchases this quarter.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,7,"The $24 billion decrease in RWA reflects a seasonal decline in Markets activity and lower wholesale lending, which
was predominantly offset by a seasonal increase in Card. Now, let's go to our businesses starting with CCB on page 5. CCB reported net income of $4.5 billion on revenue of $18.4 billion, which was up 1% year-on-year.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,8,"In Banking & Wealth Management, revenue
was down 7% year-on-year on deposit margin compression and lower deposits, partially offset by growth in Wealth Management revenues. Average deposits were down 4% year-on-year and flat sequentially as consumer balances have stabilized. Client investment assets were up
14% year-on-year, predominantly driven by market performance, and we continue to see healthy flows across branch and digital channels.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,9,"In
Home Lending, revenue was up 12% year-on-year, predominantly driven by higher production revenue. Turning to Card Services & Auto,
revenue was up 14% year-on-year, largely driven by Card NII on higher revolving balances. Card outstandings were up 11% due to strong
account acquisition and revolve growth. And in Auto, originations were $10.6 billion, up 7%, reflecting higher lease volume on robust new
vehicle inventory.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,10,"Expenses of $9.7 billion were up 4% year-on-year, predominantly driven by field compensation and growth in technology. In terms of credit
performance this quarter, credit costs were $2.6 billion, reflecting net charge-offs of $2.1 billion, up $428 million year-on-year, driven by Card. The net reserve build was $557 million, predominantly driven by higher Card revolving balances. Next, the Commercial & Investment Bank on page 6.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,11,"CIB reported net income of $6.6 billion on revenue of $17.6 billion. IB fees were up 49%
year-on-year, and we ranked number 1 with wallet share of 9.3% for 2024. Advisory fees were up 41%, benefiting from large deals and share
growth in a number of key sectors. Underwriting fees were up meaningfully with debt up 56% and equity up 54%, primarily driven by favorable
market conditions.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,12,"In terms of the outlook for the overall investment banking wallet, in light of the positive momentum, we remain optimistic
about our pipeline. Payments revenue was $4.7 billion, up 3% year-on-year, excluding equity investments, driven by higher deposit balances
and fee growth and largely offset by deposit margin compression. Lending revenue was $1.9 billion, up 9% year-on-year, predominantly driven
by lower losses on hedges. Moving to Markets, total revenue was $7 billion, up 21% year-on-year.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,13,"Fixed Income was up 20% with better performance in Credit as well as
continued outperformance in Currencies & Emerging Markets. Equities was up 22% on elevated client activity and Derivatives amid increased
volatility and higher trading volumes in Cash. Securities Services revenue was $1.3 billion, up 10% year-on-year, driven by fee growth on higher
client activity and market levels, as well as higher deposit balances.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,14,"Expenses of $8.7 billion were up 7% year-on-year, predominantly driven by
higher brokerage, technology and legal expense. Average Banking & Payments loans were down 2% year-on-year and down 1% sequentially. Global Corporate & Investment Banking loans were down 2% quarter-on-quarter, driven by paydowns and lower short-term financing,
primarily offset by new originations. In Commercial Banking, Middle Market loans were also down 2% driven by paydowns, predominantly offset by new originations.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,15,"And
Commercial Real Estate loans were flat as new originations were offset by paydowns. Average client deposits were up 9% year-on-year and 5%
sequentially, driven by underlying client growth. Finally, credit costs were $61 million driven by net downgrade activity and the net impact of
charge-offs, largely offset by a reserve release due to an update to certain loss assumptions. Then, to complete our lines of business, Asset &
Wealth Management on page 7.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,16,"AWM reported net income of $1.5 billion with pre-tax margin of 35%. Revenue of $5.8 billion was up 13% year-on-year, predominantly driven by
growth in management fees on higher average market levels and strong net inflows, as well as higher performance fees. Expenses of $3.8
billion were up 11% year-on-year, predominantly driven by higher compensation, including revenue-related compensation and continued
growth in our private banking advisor teams as well as higher distribution fees.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,17,"Long-term net inflows were $76 billion for the quarter, positive
across all asset classes. In liquidity, we saw net inflows of $94 billion for the quarter and $140 billion for the full year. And we had client asset
net inflows of $468 billion for the year. AUM of $4 trillion and client assets of $5.9 trillion were both up 18% year-on-year driven by continued
net inflows and higher market levels. And finally, loans were up 2% quarter-on-quarter and deposits were up 5% quarter-on-quarter.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,18,"Turning to
Corporate on page 8. Corporate reported net income of $1.3 billion. Revenue of $2 billion was up $223 million year-on-year. NII of $2 billion was down $415 million
year-on-year, driven by the impact of lower rates, largely offset by balance sheet actions, primarily securities reinvestment activity. NIR was a
net loss of $30 million, compared with a net loss of $668 million in the prior year, driven by lower net investment securities losses this quarter.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,19,"And expenses of $550 million were down $3 billion year-on-year, predominantly driven by the absence of the FDIC special assessment of $2.9
billion in the prior year. With that, let's pivot to the outlook, starting with NII on page 9. We expect 2025 NII ex. Markets to be approximately $90 billion. Going through the drivers, as usual, the outlook assumes that rates follow the
forward curve.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,20,"It's worth noting that the NII decrease is driven by both the cut expected in 2025 and the impact of the 100 basis points of cuts
in the back half of 2024. You can see on the page that we've illustrated the historical trajectory of Card loan growth. We expect healthy Card
loan growth again this year, but below the 12% pace we saw in 2024 as tailwinds from revolve normalization are largely behind us.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,21,"Turning to
deposits, Firmwide deposits have stabilized and we expect to see a more visible growth trend assert itself in the second half of 2025. It's
notable that we can already see that trend in consumer checking deposits. On deposit margin, we expect modest compression due to lower
rates. When you put all that together, we expect the NII trough could be sometime in the middle of the year, followed by growth as we
illustrated at the bottom of the bar.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,22,"And for completeness, we expect Firmwide NII to be approximately $94 billion as a function of Markets NII
increasing to about $4 billion, which you should think of as being primarily offset in NIR. Finally, I want to point out that starting this quarter, we are including an estimate of earnings-at-risk in the earnings supplement so you no
longer have to wait for the K or the Q to get that number. Now, let's turn to expenses on page 10.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,23,"We expect 2025 (sic) [adjusted] expense to be
about $95 billion. Looking at the chart in the middle of the page, I'll touch on the drivers of the year-on-year change, which you'll note are very
consistent with what you've been hearing from us recently. The largest increase is volume-and revenue-related expense, which is primarily
driven by expected growth in Auto leasing, as well as capital markets. As a reminder, this comes with higher revenues.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,24,"We continue to hire
bankers and advisors to support business growth as well as expand our branch network. The increase in tech spend is primarily business
driven as we continue to invest in new products, features and customer platforms, as well as modernization. Marketing remains a driver of
spend as we continue to see attractive opportunities, resulting in strong demand and engagement in our Card business.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,25,"And finally, while we
haven't explicitly called it out in each bar, inflation remains a source of some upward pressure. And as always, we are generating efficiencies to
help offset it. Now let's turn to page 11 to cover credit and wrap up. On credit, we expect the 2025 Card net charge-off rate to be in line with our previous guidance of approximately 3.6%. So in closing, 2024 was
another year of record revenue and net income, and we're proud of what we accomplished.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,26,"As we look ahead to 2025, we still expect NII
normalization, although to a lesser extent than we previously thought. And taking a step back, we think it's important to acknowledge the
tension between the risks and uncertainties in the environment and the degree of optimism embedded in asset prices and expectations. In that
context, we remain upbeat about the strength of the franchise, but we are focused on being prepared for a wide range of scenarios.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,27,"Finally, let me say a few words about the wildfires in Los Angeles. While we don't expect much of a financial impact from it, we have a presence
in the area across all three lines of business, so we're keeping in close contact with our customers, clients and employees.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,28,"We are offering
support in a variety of ways, including waiving consumer and business banking fees as well as making a contribution to local relief
organizations, offering employee donation matching and supporting employee volunteer efforts. With that, I'll turn it over to Jamie before we open up the line for Q&A. Jamie Dimon
Chairman & Chief Executive Officer, JPMorganChase
Good morning, everybody.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,29,"I just want to point out that Daniel Pinto is not leaving the company yet, so it's a bit premature what I'm about to do. I
just wanted to say and I'd be remiss not to say, he was a young man who joined the company at 20 years old in Argentina. He ran trading in
Argentina, then he ran trading for Latin America, then he ran global emerging markets trading, then he ran fixed income trading and then
became co-head of the Investment Bank and then sole head of the Investment Bank for 10 years.",4Q24,2025-01-15
4q24-earnings-transcript.pdf,30,"Over that whole time, helped me build one of
the great investment banks in the world. And then, obviously, was President for five years or more; a great partner of mine, trusted by everyone
at the company. So we're thrilled to have his skills and talents going forward, but I just wanted to recognize the contributions he made. Jeremy Barnum
Chief Financial Officer, JPMorganChase
Great. All right. So let's go to questions.",4Q24,2025-01-15
